Date and Time:                Mon Jan 30 17:16:37.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6269
203.10698	5970
203.12848	6030
203.14999	6043
203.17151	6062
203.19302	6164
203.21452	6199
203.23604	6196
203.25755	6202
203.27905	6284
203.30057	6262
203.32208	6246
203.34358	6267
203.3651	6297
203.38661	6336
203.40811	6366
203.42963	6416
203.45113	6484
203.47264	6514
203.49416	6521
203.51566	6596
203.53717	6604
203.55867	6671
203.58018	6660
203.60168	6703
203.6232	6731
203.6447	6808
203.66621	6823
203.68771	6899
203.70923	6911
203.73073	6955
203.75224	7027
203.77374	7063
203.79526	7094
203.81676	7144
203.83827	7192
203.85977	7213
203.88127	7247
203.90279	7300
203.92429	7357
203.94579	7369
203.9673	7420
203.9888	7415
204.01031	7444
204.03181	7471
204.05331	7565
204.07481	7594
204.09633	7605
204.11783	7663
204.13933	7675
204.16084	7777
204.18234	7788
204.20384	7797
204.22534	7874
204.24684	7924
204.26836	7969
204.28986	7995
204.31136	8101
204.33286	8132
204.35435	8145
204.37587	8187
204.39737	8216
204.41887	8275
204.44037	8282
204.46187	8280
204.48337	8365
204.50487	8360
204.52637	8399
204.54787	8443
204.56937	8398
204.59087	8455
204.61237	8531
204.63387	8603
204.65536	8630
204.67688	8688
204.69836	8740
204.71986	8679
204.74136	8736
204.76286	8794
204.78436	8842
204.80586	8882
204.82736	8927
204.84886	8981
204.87036	9017
204.89186	9091
204.91336	9183
204.93486	9268
204.95636	9280
204.97784	9302
204.99934	9312
205.02084	9426
205.04234	9406
205.06384	9458
205.08534	9452
205.10683	9512
205.12833	9604
205.14983	9709
205.17133	9730
205.19281	9779
205.21431	9889
205.23581	9968
205.25731	9909
205.27879	9952
205.30029	10055
205.32179	10142
205.34328	10177
205.36478	10238
205.38628	10329
205.40776	10389
205.42926	10324
205.45074	10374
205.47224	10379
205.49374	10474
205.51523	10517
205.53673	10599
205.55821	10634
205.57971	10680
