Date and Time:                Fri Oct 7 11:59:18.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	305
203.10698	301
203.12848	300
203.14999	305
203.17151	302
203.19302	305
203.21452	302
203.23604	312
203.25755	302
203.27905	300
203.30057	302
203.32208	305
203.34358	306
203.3651	308
203.38661	315
203.40811	307
203.42963	307
203.45113	305
203.47264	301
203.49416	305
203.51566	308
203.53717	307
203.55867	304
203.58018	305
203.60168	309
203.6232	304
203.6447	305
203.66621	303
203.68771	304
203.70923	306
203.73073	305
203.75224	304
203.77374	307
203.79526	306
203.81676	308
203.83827	298
203.85977	308
203.88127	302
203.90279	304
203.92429	307
203.94579	305
203.9673	308
203.9888	302
204.01031	303
204.03181	310
204.05331	309
204.07481	301
204.09633	303
204.11783	303
204.13933	305
204.16084	311
204.18234	305
204.20384	307
204.22534	306
204.24684	303
204.26836	302
204.28986	311
204.31136	308
204.33286	300
204.35435	305
204.37587	302
204.39737	306
204.41887	305
204.44037	310
204.46187	298
204.48337	304
204.50487	305
204.52637	304
204.54787	304
204.56937	312
204.59087	305
204.61237	302
204.63387	307
204.65536	304
204.67688	312
204.69836	309
204.71986	301
204.74136	302
204.76286	308
204.78436	304
204.80586	304
204.82736	309
204.84886	304
204.87036	303
204.89186	309
204.91336	305
204.93486	301
204.95636	310
204.97784	308
204.99934	308
205.02084	308
205.04234	307
205.06384	305
205.08534	301
205.10683	303
205.12833	303
205.14983	305
205.17133	305
205.19281	309
205.21431	306
205.23581	313
205.25731	305
205.27879	302
205.30029	310
205.32179	302
205.34328	302
205.36478	303
205.38628	307
205.40776	301
205.42926	304
205.45074	303
205.47224	301
205.49374	304
205.51523	306
205.53673	303
205.55821	305
205.57971	303
205.6012	298
205.6227	303
205.6442	306
205.66568	302
205.68718	298
205.70866	308
205.73015	301
205.75165	311
205.77313	301
205.79463	305
205.81612	303
205.83762	311
205.8591	301
205.88058	306
205.90208	305
205.92357	300
