Date and Time:                Fri Oct 7 11:57:40.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3449
203.10698	3334
203.12848	3365
203.14999	3342
203.17151	3328
203.19302	3361
203.21452	3410
203.23604	3427
203.25755	3414
203.27905	3454
203.30057	3413
203.32208	3438
203.34358	3425
203.3651	3446
203.38661	3468
203.40811	3513
203.42963	3538
203.45113	3526
203.47264	3575
203.49416	3598
203.51566	3600
203.53717	3611
203.55867	3610
203.58018	3648
203.60168	3650
203.6232	3668
203.6447	3718
203.66621	3697
203.68771	3760
203.70923	3776
203.73073	3780
203.75224	3806
203.77374	3812
203.79526	3845
203.81676	3877
203.83827	3862
203.85977	3872
203.88127	3915
203.90279	3920
203.92429	3950
203.94579	3967
203.9673	4010
203.9888	3958
204.01031	3980
204.03181	3968
204.05331	4016
204.07481	4038
204.09633	4078
204.11783	4095
204.13933	4137
204.16084	4145
204.18234	4168
204.20384	4158
204.22534	4195
204.24684	4227
204.26836	4221
204.28986	4275
204.31136	4324
204.33286	4326
204.35435	4364
204.37587	4362
204.39737	4369
204.41887	4381
204.44037	4389
204.46187	4442
204.48337	4423
204.50487	4414
204.52637	4469
204.54787	4466
204.56937	4474
204.59087	4503
204.61237	4512
204.63387	4568
204.65536	4630
204.67688	4621
204.69836	4626
204.71986	4619
204.74136	4660
204.76286	4666
204.78436	4726
204.80586	4737
204.82736	4728
204.84886	4766
204.87036	4748
204.89186	4781
204.91336	4807
204.93486	4865
204.95636	4915
204.97784	4927
204.99934	4959
205.02084	4931
205.04234	4980
205.06384	4995
205.08534	5057
205.10683	5047
205.12833	5107
205.14983	5165
205.17133	5115
205.19281	5153
205.21431	5217
205.23581	5239
205.25731	5250
205.27879	5275
205.30029	5280
205.32179	5360
205.34328	5352
205.36478	5353
205.38628	5439
205.40776	5479
205.42926	5445
205.45074	5479
205.47224	5447
205.49374	5507
205.51523	5510
205.53673	5583
205.55821	5642
205.57971	5599
