Date and Time:                Fri Oct 7 11:53:07.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3227
203.10698	3069
203.12848	3084
203.14999	3080
203.17151	3124
203.19302	3112
203.21452	3147
203.23604	3158
203.25755	3137
203.27905	3184
203.30057	3153
203.32208	3174
203.34358	3161
203.3651	3180
203.38661	3215
203.40811	3227
203.42963	3245
203.45113	3285
203.47264	3258
203.49416	3319
203.51566	3308
203.53717	3315
203.55867	3348
203.58018	3354
203.60168	3366
203.6232	3405
203.6447	3433
203.66621	3441
203.68771	3466
203.70923	3458
203.73073	3476
203.75224	3506
203.77374	3490
203.79526	3507
203.81676	3556
203.83827	3581
203.85977	3598
203.88127	3594
203.90279	3642
203.92429	3677
203.94579	3632
203.9673	3674
203.9888	3660
204.01031	3691
204.03181	3675
204.05331	3721
204.07481	3769
204.09633	3803
204.11783	3811
204.13933	3816
204.16084	3838
204.18234	3806
204.20384	3845
204.22534	3927
204.24684	3904
204.26836	3942
204.28986	3969
204.31136	3982
204.33286	4000
204.35435	4007
204.37587	4050
204.39737	4051
204.41887	4041
204.44037	4078
204.46187	4074
204.48337	4065
204.50487	4110
204.52637	4075
204.54787	4105
204.56937	4164
204.59087	4136
204.61237	4241
204.63387	4255
204.65536	4266
204.67688	4271
204.69836	4292
204.71986	4303
204.74136	4327
204.76286	4340
204.78436	4357
204.80586	4388
204.82736	4409
204.84886	4404
204.87036	4423
204.89186	4449
204.91336	4484
204.93486	4525
204.95636	4558
204.97784	4572
204.99934	4602
205.02084	4647
205.04234	4609
205.06384	4614
205.08534	4705
205.10683	4724
205.12833	4795
205.14983	4819
205.17133	4794
205.19281	4829
205.21431	4880
205.23581	4897
205.25731	4915
205.27879	4910
205.30029	4960
205.32179	4987
205.34328	4997
205.36478	5065
205.38628	5067
205.40776	5104
205.42926	5102
205.45074	5121
205.47224	5121
205.49374	5143
205.51523	5186
205.53673	5225
205.55821	5216
205.57971	5250
