Date and Time:                Fri Oct 7 11:44:53.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	11647
203.10698	11154
203.12848	11194
203.14999	11208
203.17151	11236
203.19302	11321
203.21452	11413
203.23604	11440
203.25755	11423
203.27905	11461
203.30057	11460
203.32208	11486
203.34358	11616
203.3651	11813
203.38661	12058
203.40811	12268
203.42963	12431
203.45113	12394
203.47264	12411
203.49416	12320
203.51566	12227
203.53717	12189
203.55867	12153
203.58018	12083
203.60168	12014
203.6232	11981
203.6447	11979
203.66621	11939
203.68771	11906
203.70923	11723
203.73073	11743
203.75224	11667
203.77374	11621
203.79526	11590
203.81676	11614
203.83827	11580
203.85977	11548
203.88127	11598
203.90279	11607
203.92429	11584
203.94579	11578
203.9673	11590
203.9888	11603
204.01031	11600
204.03181	11596
204.05331	11680
204.07481	11693
204.09633	11581
204.11783	11656
204.13933	11670
204.16084	11734
204.18234	11662
204.20384	11601
204.22534	11629
204.24684	11594
204.26836	11627
204.28986	11625
204.31136	11591
204.33286	11636
204.35435	11636
204.37587	11598
204.39737	11623
204.41887	11619
204.44037	11644
204.46187	11632
204.48337	11554
204.50487	11594
204.52637	11575
204.54787	11585
204.56937	11564
204.59087	11567
204.61237	11571
204.63387	11646
204.65536	11634
204.67688	11681
204.69836	11618
204.71986	11593
204.74136	11608
204.76286	11603
204.78436	11639
204.80586	11651
204.82736	11633
204.84886	11671
204.87036	11604
204.89186	11647
204.91336	11712
204.93486	11710
204.95636	11738
204.97784	11776
204.99934	11753
205.02084	11764
205.04234	11826
205.06384	11686
205.08534	11821
205.10683	11868
205.12833	11899
205.14983	11932
205.17133	11868
205.19281	11916
205.21431	11913
205.23581	11925
205.25731	11991
205.27879	11983
205.30029	11991
205.32179	12059
205.34328	12044
205.36478	12108
205.38628	12149
205.40776	12136
205.42926	12135
205.45074	12106
205.47224	12103
205.49374	12151
205.51523	12169
205.53673	12188
205.55821	12283
