Date and Time:                Fri Oct 7 12:55:22.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	391
177.99368	387
178.0153	385
178.03691	380
178.05853	376
178.08015	382
178.10176	380
178.12338	384
178.145	373
178.16661	379
178.18823	381
178.20985	388
178.23146	382
178.25308	384
178.27469	382
178.29631	379
178.31793	382
178.33954	380
178.36116	395
178.38277	381
178.40439	377
178.42599	384
178.44762	375
178.46922	384
178.49084	374
178.51245	383
178.53407	377
178.55568	380
178.5773	370
178.59891	373
178.62053	370
178.64214	377
178.66376	370
178.68536	377
178.70697	378
178.72859	390
178.7502	383
178.77182	385
178.79343	388
178.81503	381
178.83665	368
178.85826	377
178.87987	378
178.90149	373
178.9231	383
178.9447	374
178.96631	376
178.98793	370
179.00954	378
179.03114	383
179.05275	366
179.07437	376
179.09598	378
179.11758	371
179.13919	376
179.16081	381
179.18242	375
179.20403	393
179.22563	374
179.24724	372
179.26884	377
179.29047	366
179.31207	390
179.33368	378
179.35529	367
179.37689	372
179.3985	373
179.4201	373
179.44171	382
179.46332	382
179.48492	379
179.50653	371
179.52814	386
179.54974	371
179.57135	378
179.59296	374
179.61456	379
179.63617	376
179.65778	371
179.67938	373
179.70099	363
179.7226	377
179.7442	372
179.76581	366
179.78741	365
179.80902	367
179.83063	369
179.85223	373
179.87383	373
179.89543	370
179.91704	373
179.93864	367
179.96025	373
179.98186	365
180.00345	372
180.02505	367
180.04666	378
180.06827	370
180.08986	368
180.11147	365
180.13307	362
180.15468	364
180.17627	366
180.19788	371
180.21948	360
180.24107	363
180.26268	367
180.28429	373
180.30589	379
180.32748	388
180.34909	355
180.37068	362
180.39229	373
180.41389	374
180.43549	368
180.45709	359
180.47868	363
180.50029	373
180.5219	372
180.54349	368
180.56509	362
180.58669	368
180.60829	362
180.62988	362
180.65149	367
180.67308	371
180.69469	366
180.71628	357
180.73788	372
180.75948	371
180.78107	366
180.80267	369
180.82426	359
180.84587	363
