Date and Time:                Fri Oct 7 12:53:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	316
177.99368	316
178.0153	304
178.03691	301
178.05853	306
178.08015	312
178.10176	316
178.12338	305
178.145	308
178.16661	305
178.18823	309
178.20985	305
178.23146	307
178.25308	310
178.27469	306
178.29631	307
178.31793	307
178.33954	313
178.36116	306
178.38277	312
178.40439	309
178.42599	315
178.44762	310
178.46922	311
178.49084	309
178.51245	307
178.53407	308
178.55568	305
178.5773	310
178.59891	307
178.62053	308
178.64214	305
178.66376	310
178.68536	314
178.70697	311
178.72859	312
178.7502	313
178.77182	313
178.79343	306
178.81503	309
178.83665	309
178.85826	309
178.87987	308
178.90149	303
178.9231	312
178.9447	309
178.96631	310
178.98793	305
179.00954	305
179.03114	310
179.05275	309
179.07437	304
179.09598	307
179.11758	308
179.13919	309
179.16081	303
179.18242	309
179.20403	308
179.22563	312
179.24724	306
179.26884	311
179.29047	303
179.31207	307
179.33368	312
179.35529	306
179.37689	308
179.3985	305
179.4201	308
179.44171	318
179.46332	310
179.48492	306
179.50653	303
179.52814	310
179.54974	306
179.57135	307
179.59296	303
179.61456	311
179.63617	302
179.65778	305
179.67938	305
179.70099	302
179.7226	310
179.7442	305
179.76581	305
179.78741	303
179.80902	303
179.83063	307
179.85223	307
179.87383	301
179.89543	308
179.91704	308
179.93864	308
179.96025	306
179.98186	304
180.00345	302
180.02505	301
180.04666	312
180.06827	308
180.08986	310
180.11147	304
180.13307	307
180.15468	301
180.17627	311
180.19788	300
180.21948	303
180.24107	307
180.26268	305
180.28429	306
180.30589	306
180.32748	305
180.34909	309
180.37068	308
180.39229	309
180.41389	297
180.43549	304
180.45709	305
180.47868	310
180.50029	306
180.5219	311
180.54349	305
180.56509	305
180.58669	305
180.60829	309
180.62988	308
180.65149	305
180.67308	304
180.69469	306
180.71628	308
180.73788	305
180.75948	311
180.78107	307
180.80267	314
180.82426	305
180.84587	303
