Date and Time:                Fri Oct 7 12:48:24.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	552
177.99368	536
178.0153	528
178.03691	526
178.05853	538
178.08015	534
178.10176	534
178.12338	527
178.145	529
178.16661	533
178.18823	526
178.20985	533
178.23146	524
178.25308	528
178.27469	522
178.29631	522
178.31793	535
178.33954	521
178.36116	543
178.38277	518
178.40439	537
178.42599	527
178.44762	538
178.46922	524
178.49084	524
178.51245	535
178.53407	516
178.55568	521
178.5773	515
178.59891	518
178.62053	512
178.64214	521
178.66376	524
178.68536	519
178.70697	525
178.72859	527
178.7502	525
178.77182	531
178.79343	529
178.81503	521
178.83665	517
178.85826	584
178.87987	567
178.90149	529
178.9231	515
178.9447	520
178.96631	522
178.98793	520
179.00954	526
179.03114	521
179.05275	523
179.07437	524
179.09598	514
179.11758	521
179.13919	522
179.16081	528
179.18242	525
179.20403	529
179.22563	521
179.24724	519
179.26884	528
179.29047	520
179.31207	530
179.33368	525
179.35529	536
179.37689	520
179.3985	520
179.4201	524
179.44171	530
179.46332	523
179.48492	525
179.50653	527
179.52814	538
179.54974	529
179.57135	534
179.59296	524
179.61456	529
179.63617	509
179.65778	510
179.67938	517
179.70099	517
179.7226	529
179.7442	519
179.76581	524
179.78741	515
179.80902	522
179.83063	528
179.85223	531
179.87383	524
179.89543	530
179.91704	516
179.93864	522
179.96025	518
179.98186	527
180.00345	517
180.02505	517
180.04666	524
180.06827	520
180.08986	510
180.11147	515
180.13307	522
180.15468	514
180.17627	510
180.19788	518
180.21948	509
180.24107	517
180.26268	522
180.28429	517
180.30589	522
180.32748	533
180.34909	513
180.37068	514
180.39229	514
180.41389	509
180.43549	524
180.45709	523
180.47868	519
180.50029	517
180.5219	521
180.54349	524
180.56509	515
180.58669	513
180.60829	523
180.62988	514
180.65149	516
180.67308	531
180.69469	514
180.71628	523
180.73788	513
180.75948	519
180.78107	519
180.80267	519
180.82426	522
180.84587	525
