Date and Time:                Fri Oct 7 12:46:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              200
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



177.97206	6812
177.99368	6522
178.0153	6580
178.03691	6570
178.05853	6584
178.08015	6559
178.10176	6593
178.12338	6591
178.145	6589
178.16661	6553
178.18823	6570
178.20985	6541
178.23146	6546
178.25308	6558
178.27469	6543
178.29631	6575
178.31793	6569
178.33954	6550
178.36116	6566
178.38277	6559
178.40439	6548
178.42599	6530
178.44762	6535
178.46922	6550
178.49084	6518
178.51245	6553
178.53407	6546
178.55568	6552
178.5773	6524
178.59891	6549
178.62053	6525
178.64214	6499
178.66376	6510
178.68536	6520
178.70697	6522
178.72859	6533
178.7502	6476
178.77182	6521
178.79343	6521
178.81503	6501
178.83665	6503
178.85826	6505
178.87987	6510
178.90149	6502
178.9231	6543
178.9447	6527
178.96631	6528
178.98793	6481
179.00954	6495
179.03114	6504
179.05275	6471
179.07437	6527
179.09598	6504
179.11758	6528
179.13919	6497
179.16081	6517
179.18242	6535
179.20403	6499
179.22563	6547
179.24724	6551
179.26884	6509
179.29047	6552
179.31207	6558
179.33368	6560
179.35529	6526
179.37689	6528
179.3985	6551
179.4201	6553
179.44171	6517
179.46332	6508
179.48492	6533
179.50653	6513
179.52814	6516
179.54974	6511
179.57135	6550
179.59296	6510
179.61456	6509
179.63617	6513
179.65778	6514
179.67938	6545
179.70099	6522
179.7226	6521
179.7442	6550
179.76581	6554
179.78741	6544
179.80902	6551
179.83063	6558
179.85223	6528
179.87383	6478
179.89543	6569
179.91704	6522
179.93864	6539
179.96025	6500
179.98186	6536
180.00345	6500
180.02505	6494
180.04666	6525
180.06827	6519
180.08986	6506
180.11147	6517
180.13307	6468
180.15468	6499
180.17627	6474
180.19788	6502
180.21948	6481
180.24107	6494
180.26268	6477
180.28429	6492
180.30589	6472
180.32748	6491
180.34909	6475
180.37068	6471
180.39229	6497
180.41389	6497
180.43549	6430
180.45709	6479
180.47868	6474
