Date and Time:                Fri Oct 7 12:17:21.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	401
238.27481	390
238.29616	386
238.31752	380
238.33887	389
238.36021	382
238.38158	381
238.40292	395
238.42427	461
238.44563	441
238.46698	380
238.48833	390
238.50969	380
238.53104	452
238.55238	392
238.57375	380
238.59509	385
238.61644	385
238.63779	387
238.65915	378
238.6805	379
238.70184	376
238.72319	388
238.74454	377
238.7659	379
238.78725	378
238.80859	380
238.82994	382
238.85129	381
238.87263	375
238.89398	371
238.91534	381
238.93669	383
238.95804	378
238.97939	379
239.00073	381
239.02208	383
239.04343	377
239.06477	384
239.08612	383
239.10747	372
239.12881	376
239.15016	375
239.17151	377
239.19286	382
239.2142	372
239.23555	377
239.2569	374
239.27823	378
239.29958	384
239.32092	368
239.34227	375
239.36362	372
239.38496	374
239.40631	380
239.42764	376
239.44899	380
239.47034	395
239.49168	371
239.51303	375
239.53436	377
239.55571	383
239.57706	389
239.5984	368
239.61974	378
239.64108	372
239.66243	371
239.68376	375
239.70511	385
239.72646	376
239.74779	370
239.76913	370
239.79048	386
239.81181	370
239.83316	378
239.85451	376
239.87584	378
239.89719	367
239.91852	375
239.93987	366
239.9612	374
239.98254	379
240.00388	372
240.02522	369
240.04655	373
240.0679	373
240.08923	370
240.11058	372
240.13191	367
240.15326	373
240.17459	378
240.19592	364
240.21727	370
240.2386	370
240.25995	371
240.28128	358
240.30261	381
240.32396	371
240.34529	375
240.36662	365
240.38797	367
240.4093	366
240.43063	369
240.45197	368
240.47331	365
240.49464	362
240.51598	367
240.53731	364
240.55865	373
240.57999	383
240.60132	368
240.62265	370
240.64398	361
240.66533	362
240.68666	365
240.70799	368
240.72932	364
240.75066	452
240.77199	363
240.79332	372
240.81465	359
240.83598	363
240.85732	361
240.87865	366
240.89998	363
240.92133	384
240.94266	364
240.96397	366
240.98531	358
241.00664	372
241.02797	372
241.0493	362
241.07063	359
