Date and Time:                Fri Oct 7 12:15:31.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.35
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	303
238.27481	303
238.29616	297
238.31752	301
238.33887	302
238.36021	298
238.38158	300
238.40292	306
238.42427	301
238.44563	302
238.46698	302
238.48833	298
238.50969	300
238.53104	301
238.55238	302
238.57375	297
238.59509	299
238.61644	303
238.63779	300
238.65915	300
238.6805	301
238.70184	305
238.72319	300
238.74454	300
238.7659	303
238.78725	298
238.80859	300
238.82994	302
238.85129	303
238.87263	303
238.89398	301
238.91534	305
238.93669	302
238.95804	297
238.97939	302
239.00073	302
239.02208	302
239.04343	298
239.06477	301
239.08612	306
239.10747	304
239.12881	298
239.15016	299
239.17151	303
239.19286	305
239.2142	298
239.23555	299
239.2569	299
239.27823	297
239.29958	303
239.32092	296
239.34227	304
239.36362	301
239.38496	305
239.40631	303
239.42764	306
239.44899	299
239.47034	303
239.49168	303
239.51303	300
239.53436	302
239.55571	305
239.57706	303
239.5984	294
239.61974	303
239.64108	300
239.66243	302
239.68376	302
239.70511	301
239.72646	304
239.74779	294
239.76913	302
239.79048	304
239.81181	298
239.83316	295
239.85451	301
239.87584	302
239.89719	297
239.91852	306
239.93987	303
239.9612	296
239.98254	304
240.00388	298
240.02522	305
240.04655	297
240.0679	303
240.08923	301
240.11058	308
240.13191	300
240.15326	298
240.17459	308
240.19592	309
240.21727	295
240.2386	306
240.25995	302
240.28128	297
240.30261	298
240.32396	300
240.34529	303
240.36662	306
240.38797	300
240.4093	298
240.43063	299
240.45197	299
240.47331	301
240.49464	304
240.51598	300
240.53731	296
240.55865	298
240.57999	301
240.60132	303
240.62265	298
240.64398	298
240.66533	299
240.68666	295
240.70799	293
240.72932	298
240.75066	296
240.77199	301
240.79332	303
240.81465	299
240.83598	298
240.85732	300
240.87865	298
240.89998	298
240.92133	301
240.94266	301
240.96397	301
240.98531	294
241.00664	298
241.02797	305
241.0493	302
241.07063	296
