Date and Time:                Fri Oct 7 12:10:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	44229
238.27481	42998
238.29616	43551
238.31752	43459
238.33887	42973
238.36021	43403
238.38158	43142
238.40292	43055
238.42427	42705
238.44563	42495
238.46698	42205
238.48833	41748
238.50969	41232
238.53104	41382
238.55238	41138
238.57375	41079
238.59509	40931
238.61644	40903
238.63779	40874
238.65915	40690
238.6805	40535
238.70184	40374
238.72319	40136
238.74454	40252
238.7659	40010
238.78725	40043
238.80859	40210
238.82994	39830
238.85129	39770
238.87263	39576
238.89398	39425
238.91534	39295
238.93669	39341
238.95804	39174
238.97939	38658
239.00073	38668
239.02208	38456
239.04343	38434
239.06477	38352
239.08612	38475
239.10747	37843
239.12881	37557
239.15016	37097
239.17151	36912
239.19286	36897
239.2142	37011
239.23555	36853
239.2569	36687
239.27823	36659
239.29958	36503
239.32092	36407
239.34227	36188
239.36362	35878
239.38496	35984
239.40631	35922
239.42764	35706
239.44899	35636
239.47034	35609
239.49168	35663
239.51303	35640
239.53436	35116
239.55571	34897
239.57706	34786
239.5984	34692
239.61974	34385
239.64108	34098
239.66243	33903
239.68376	33805
239.70511	33367
239.72646	33084
239.74779	32829
239.76913	32805
239.79048	32693
239.81181	32518
239.83316	32496
239.85451	32276
239.87584	32008
239.89719	31771
239.91852	31705
239.93987	31582
239.9612	31469
239.98254	31340
240.00388	31375
240.02522	31230
240.04655	31127
240.0679	31114
240.08923	31095
240.11058	30746
240.13191	30662
240.15326	30518
240.17459	30383
240.19592	30177
240.21727	29781
240.2386	29748
240.25995	29652
240.28128	29716
240.30261	29489
240.32396	29346
240.34529	29384
240.36662	29375
240.38797	29247
240.4093	29012
240.43063	28863
240.45197	28792
240.47331	28543
240.49464	28462
240.51598	28504
240.53731	28530
240.55865	28357
240.57999	28097
240.60132	27963
240.62265	27770
240.64398	27595
240.66533	27540
240.68666	27616
240.70799	27479
240.72932	27089
