Date and Time:                Fri Oct 7 12:14:42.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.35
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              260
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



238.25345	3906
238.27481	3715
238.29616	3728
238.31752	3760
238.33887	3719
238.36021	3761
238.38158	3770
238.40292	3751
238.42427	3779
238.44563	3775
238.46698	3752
238.48833	3740
238.50969	3725
238.53104	3730
238.55238	3754
238.57375	3740
238.59509	3746
238.61644	3757
238.63779	3766
238.65915	3761
238.6805	3767
238.70184	3768
238.72319	3793
238.74454	3791
238.7659	3776
238.78725	3776
238.80859	3801
238.82994	3835
238.85129	3825
238.87263	3827
238.89398	3826
238.91534	3825
238.93669	3882
238.95804	3855
238.97939	3866
239.00073	3863
239.02208	3862
239.04343	3864
239.06477	3877
239.08612	3886
239.10747	3873
239.12881	3836
239.15016	3825
239.17151	3851
239.19286	3857
239.2142	3883
239.23555	3874
239.2569	3884
239.27823	3894
239.29958	3907
239.32092	3909
239.34227	3880
239.36362	3891
239.38496	3895
239.40631	3902
239.42764	3904
239.44899	3917
239.47034	3955
239.49168	3956
239.51303	3987
239.53436	3954
239.55571	3967
239.57706	3939
239.5984	3945
239.61974	3950
239.64108	3956
239.66243	3945
239.68376	3970
239.70511	3924
239.72646	3918
239.74779	3901
239.76913	3918
239.79048	3940
239.81181	3946
239.83316	3944
239.85451	3966
239.87584	3916
239.89719	3914
239.91852	3924
239.93987	3922
239.9612	3917
239.98254	3959
240.00388	3951
240.02522	3986
240.04655	3968
240.0679	3978
240.08923	4003
240.11058	3983
240.13191	3968
240.15326	3995
240.17459	4032
240.19592	3992
240.21727	3985
240.2386	3978
240.25995	4017
240.28128	4006
240.30261	3992
240.32396	4019
240.34529	4041
240.36662	4058
240.38797	4058
240.4093	4047
240.43063	4051
240.45197	4052
240.47331	4061
240.49464	4061
240.51598	4054
240.53731	4095
240.55865	4089
240.57999	4086
240.60132	4078
240.62265	4092
240.64398	4066
240.66533	4099
240.68666	4124
240.70799	4112
