Date and Time:                Mon Jan 30 17:27:12.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	390
203.10698	385
203.12848	384
203.14999	382
203.17151	383
203.19302	373
203.21452	376
203.23604	374
203.25755	375
203.27905	369
203.30057	387
203.32208	378
203.34358	376
203.3651	382
203.38661	374
203.40811	381
203.42963	383
203.45113	373
203.47264	384
203.49416	374
203.51566	372
203.53717	372
203.55867	379
203.58018	375
203.60168	368
203.6232	377
203.6447	377
203.66621	372
203.68771	362
203.70923	373
203.73073	367
203.75224	366
203.77374	374
203.79526	371
203.81676	375
203.83827	382
203.85977	371
203.88127	379
203.90279	376
203.92429	379
203.94579	372
203.9673	365
203.9888	364
204.01031	363
204.03181	378
204.05331	371
204.07481	365
204.09633	362
204.11783	375
204.13933	368
204.16084	370
204.18234	371
204.20384	371
204.22534	375
204.24684	373
204.26836	372
204.28986	370
204.31136	379
204.33286	370
204.35435	371
204.37587	369
204.39737	361
204.41887	379
204.44037	366
204.46187	368
204.48337	364
204.50487	375
204.52637	368
204.54787	377
204.56937	366
204.59087	371
204.61237	361
204.63387	378
204.65536	366
204.67688	367
204.69836	377
204.71986	369
204.74136	361
204.76286	364
204.78436	361
204.80586	359
204.82736	367
204.84886	356
204.87036	370
204.89186	358
204.91336	366
204.93486	360
204.95636	367
204.97784	367
204.99934	366
205.02084	375
205.04234	358
205.06384	365
205.08534	363
205.10683	358
205.12833	357
205.14983	370
205.17133	363
205.19281	353
205.21431	361
205.23581	363
205.25731	366
205.27879	365
205.30029	366
205.32179	356
205.34328	362
205.36478	358
205.38628	360
205.40776	368
205.42926	377
205.45074	357
205.47224	366
205.49374	356
205.51523	365
205.53673	358
205.55821	370
205.57971	357
205.6012	366
205.6227	365
205.6442	363
205.66568	360
205.68718	354
205.70866	357
205.73015	361
205.75165	359
205.77313	369
205.79463	365
205.81612	362
205.83762	361
205.8591	363
205.88058	358
205.90208	356
205.92357	351
