Date and Time:                Mon Jan 30 17:14:57.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6197
203.10698	5914
203.12848	5911
203.14999	5931
203.17151	5984
203.19302	6073
203.21452	6113
203.23604	6071
203.25755	6090
203.27905	6122
203.30057	6143
203.32208	6150
203.34358	6133
203.3651	6188
203.38661	6198
203.40811	6297
203.42963	6323
203.45113	6338
203.47264	6405
203.49416	6411
203.51566	6493
203.53717	6501
203.55867	6547
203.58018	6547
203.60168	6558
203.6232	6647
203.6447	6660
203.66621	6746
203.68771	6766
203.70923	6781
203.73073	6816
203.75224	6895
203.77374	6870
203.79526	6944
203.81676	6971
203.83827	6950
203.85977	6996
203.88127	7119
203.90279	7191
203.92429	7229
203.94579	7266
203.9673	7258
203.9888	7226
204.01031	7253
204.03181	7331
204.05331	7367
204.07481	7360
204.09633	7424
204.11783	7507
204.13933	7522
204.16084	7577
204.18234	7587
204.20384	7613
204.22534	7706
204.24684	7725
204.26836	7754
204.28986	7788
204.31136	7892
204.33286	7924
204.35435	7963
204.37587	7970
204.39737	7996
204.41887	8052
204.44037	8070
204.46187	8117
204.48337	8118
204.50487	8154
204.52637	8167
204.54787	8164
204.56937	8172
204.59087	8207
204.61237	8264
204.63387	8335
204.65536	8372
204.67688	8459
204.69836	8432
204.71986	8440
204.74136	8482
204.76286	8563
204.78436	8595
204.80586	8624
204.82736	8654
204.84886	8747
204.87036	8761
204.89186	8815
204.91336	8893
204.93486	9003
204.95636	8997
204.97784	9048
204.99934	9059
205.02084	9100
205.04234	9085
205.06384	9119
205.08534	9205
205.10683	9266
205.12833	9363
205.14983	9372
205.17133	9424
205.19281	9486
205.21431	9569
205.23581	9628
205.25731	9650
205.27879	9649
205.30029	9719
205.32179	9773
205.34328	9819
205.36478	9931
205.38628	9987
205.40776	10058
205.42926	9989
205.45074	10016
205.47224	10067
205.49374	10107
205.51523	10186
205.53673	10288
205.55821	10329
205.57971	10287
