Date and Time:                Mon Jan 30 17:18:21.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	6366
203.10698	6064
203.12848	6105
203.14999	6108
203.17151	6119
203.19302	6228
203.21452	6271
203.23604	6274
203.25755	6265
203.27905	6282
203.30057	6257
203.32208	6269
203.34358	6297
203.3651	6340
203.38661	6375
203.40811	6425
203.42963	6465
203.45113	6489
203.47264	6571
203.49416	6597
203.51566	6624
203.53717	6620
203.55867	6735
203.58018	6744
203.60168	6755
203.6232	6819
203.6447	6862
203.66621	6905
203.68771	6941
203.70923	6990
203.73073	7012
203.75224	7074
203.77374	7113
203.79526	7111
203.81676	7219
203.83827	7238
203.85977	7246
203.88127	7314
203.90279	7374
203.92429	7376
203.94579	7426
203.9673	7443
203.9888	7459
204.01031	7449
204.03181	7515
204.05331	7547
204.07481	7615
204.09633	7661
204.11783	7716
204.13933	7738
204.16084	7819
204.18234	7787
204.20384	7838
204.22534	7932
204.24684	7992
204.26836	8038
204.28986	8033
204.31136	8129
204.33286	8169
204.35435	8205
204.37587	8219
204.39737	8249
204.41887	8294
204.44037	8355
204.46187	8342
204.48337	8403
204.50487	8348
204.52637	8498
204.54787	8470
204.56937	8452
204.59087	8509
204.61237	8571
204.63387	8656
204.65536	8690
204.67688	8724
204.69836	8733
204.71986	8770
204.74136	8802
204.76286	8795
204.78436	8898
204.80586	8904
204.82736	8982
204.84886	9027
204.87036	9101
204.89186	9129
204.91336	9197
204.93486	9292
204.95636	9378
204.97784	9373
204.99934	9380
205.02084	9472
205.04234	9452
205.06384	9553
205.08534	9593
205.10683	9593
205.12833	9705
205.14983	9757
205.17133	9757
205.19281	9896
205.21431	9927
205.23581	9986
205.25731	9969
205.27879	10021
205.30029	10075
205.32179	10161
205.34328	10230
205.36478	10341
205.38628	10382
205.40776	10391
205.42926	10443
205.45074	10383
205.47224	10448
205.49374	10538
205.51523	10572
205.53673	10663
205.55821	10793
205.57971	10767
