Date and Time:                Fri Oct 7 11:59:42.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	362
203.10698	359
203.12848	357
203.14999	351
203.17151	356
203.19302	353
203.21452	350
203.23604	356
203.25755	353
203.27905	346
203.30057	350
203.32208	357
203.34358	352
203.3651	345
203.38661	353
203.40811	351
203.42963	360
203.45113	344
203.47264	366
203.49416	349
203.51566	351
203.53717	359
203.55867	351
203.58018	354
203.60168	347
203.6232	358
203.6447	347
203.66621	350
203.68771	349
203.70923	347
203.73073	347
203.75224	347
203.77374	352
203.79526	349
203.81676	344
203.83827	361
203.85977	350
203.88127	356
203.90279	349
203.92429	357
203.94579	350
203.9673	351
203.9888	347
204.01031	360
204.03181	349
204.05331	349
204.07481	349
204.09633	339
204.11783	353
204.13933	355
204.16084	350
204.18234	353
204.20384	355
204.22534	351
204.24684	351
204.26836	353
204.28986	346
204.31136	357
204.33286	346
204.35435	349
204.37587	349
204.39737	339
204.41887	358
204.44037	345
204.46187	343
204.48337	348
204.50487	353
204.52637	352
204.54787	354
204.56937	351
204.59087	354
204.61237	346
204.63387	355
204.65536	350
204.67688	351
204.69836	345
204.71986	346
204.74136	343
204.76286	346
204.78436	350
204.80586	346
204.82736	345
204.84886	346
204.87036	344
204.89186	345
204.91336	343
204.93486	341
204.95636	347
204.97784	350
204.99934	350
205.02084	347
205.04234	343
205.06384	347
205.08534	344
205.10683	346
205.12833	339
205.14983	344
205.17133	350
205.19281	341
205.21431	342
205.23581	349
205.25731	334
205.27879	347
205.30029	342
205.32179	337
205.34328	341
205.36478	342
205.38628	340
205.40776	350
205.42926	360
205.45074	347
205.47224	342
205.49374	344
205.51523	341
205.53673	350
205.55821	340
205.57971	342
205.6012	349
205.6227	342
205.6442	346
205.66568	336
205.68718	341
205.70866	338
205.73015	345
205.75165	338
205.77313	343
205.79463	336
205.81612	342
205.83762	341
205.8591	347
205.88058	342
205.90208	344
205.92357	332
