Date and Time:                Fri Oct 7 11:53:41.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3228
203.10698	3096
203.12848	3098
203.14999	3101
203.17151	3110
203.19302	3135
203.21452	3149
203.23604	3172
203.25755	3185
203.27905	3182
203.30057	3147
203.32208	3142
203.34358	3172
203.3651	3208
203.38661	3250
203.40811	3226
203.42963	3267
203.45113	3266
203.47264	3290
203.49416	3307
203.51566	3307
203.53717	3329
203.55867	3358
203.58018	3373
203.60168	3368
203.6232	3408
203.6447	3437
203.66621	3438
203.68771	3460
203.70923	3490
203.73073	3530
203.75224	3533
203.77374	3534
203.79526	3529
203.81676	3541
203.83827	3591
203.85977	3581
203.88127	3620
203.90279	3665
203.92429	3679
203.94579	3691
203.9673	3690
203.9888	3669
204.01031	3679
204.03181	3705
204.05331	3746
204.07481	3773
204.09633	3760
204.11783	3788
204.13933	3857
204.16084	3857
204.18234	3863
204.20384	3851
204.22534	3893
204.24684	3929
204.26836	3914
204.28986	3920
204.31136	3993
204.33286	3990
204.35435	4043
204.37587	4040
204.39737	4044
204.41887	4074
204.44037	4082
204.46187	4123
204.48337	4076
204.50487	4124
204.52637	4094
204.54787	4161
204.56937	4156
204.59087	4175
204.61237	4211
204.63387	4269
204.65536	4256
204.67688	4294
204.69836	4283
204.71986	4320
204.74136	4318
204.76286	4326
204.78436	4377
204.80586	4384
204.82736	4443
204.84886	4427
204.87036	4470
204.89186	4476
204.91336	4505
204.93486	4558
204.95636	4609
204.97784	4582
204.99934	4641
205.02084	4638
205.04234	4642
205.06384	4687
205.08534	4698
205.10683	4736
205.12833	4801
205.14983	4813
205.17133	4818
205.19281	4862
205.21431	4875
205.23581	4865
205.25731	4900
205.27879	4927
205.30029	4994
205.32179	4963
205.34328	4990
205.36478	5074
205.38628	5079
205.40776	5123
205.42926	5127
205.45074	5102
205.47224	5128
205.49374	5163
205.51523	5223
205.53673	5266
205.55821	5254
205.57971	5265
