Date and Time:                Fri Oct 7 11:48:42.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         28
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	3259
203.10698	3127
203.12848	3155
203.14999	3178
203.17151	3150
203.19302	3164
203.21452	3228
203.23604	3237
203.25755	3197
203.27905	3220
203.30057	3215
203.32208	3241
203.34358	3226
203.3651	3253
203.38661	3264
203.40811	3296
203.42963	3335
203.45113	3316
203.47264	3368
203.49416	3401
203.51566	3353
203.53717	3387
203.55867	3392
203.58018	3387
203.60168	3427
203.6232	3453
203.6447	3468
203.66621	3491
203.68771	3520
203.70923	3540
203.73073	3554
203.75224	3551
203.77374	3552
203.79526	3616
203.81676	3574
203.83827	3625
203.85977	3649
203.88127	3669
203.90279	3698
203.92429	3715
203.94579	3717
203.9673	3702
203.9888	3724
204.01031	3707
204.03181	3746
204.05331	3808
204.07481	3811
204.09633	3814
204.11783	3855
204.13933	3899
204.16084	3898
204.18234	3859
204.20384	3884
204.22534	3932
204.24684	3950
204.26836	3993
204.28986	3991
204.31136	4035
204.33286	4065
204.35435	4063
204.37587	4070
204.39737	4053
204.41887	4139
204.44037	4114
204.46187	4104
204.48337	4169
204.50487	4148
204.52637	4172
204.54787	4170
204.56937	4170
204.59087	4227
204.61237	4263
204.63387	4303
204.65536	4273
204.67688	4276
204.69836	4318
204.71986	4346
204.74136	4329
204.76286	4374
204.78436	4422
204.80586	4407
204.82736	4420
204.84886	4436
204.87036	4429
204.89186	4448
204.91336	4536
204.93486	4559
204.95636	4608
204.97784	4604
204.99934	4643
205.02084	4620
205.04234	4659
205.06384	4661
205.08534	4727
205.10683	4742
205.12833	4787
205.14983	4820
205.17133	4790
205.19281	4833
205.21431	4885
205.23581	4907
205.25731	4919
205.27879	4927
205.30029	4970
205.32179	4960
205.34328	5006
205.36478	5020
205.38628	5075
205.40776	5083
205.42926	5101
205.45074	5106
205.47224	5108
205.49374	5136
205.51523	5183
205.53673	5211
205.55821	5216
205.57971	5240
