Date and Time:                Fri Oct 7 11:58:46.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	11755
203.10698	11277
203.12848	11331
203.14999	11319
203.17151	11243
203.19302	11438
203.21452	11524
203.23604	11476
203.25755	11514
203.27905	11580
203.30057	11615
203.32208	11598
203.34358	11643
203.3651	11947
203.38661	12141
203.40811	12416
203.42963	12569
203.45113	12558
203.47264	12562
203.49416	12532
203.51566	12400
203.53717	12363
203.55867	12269
203.58018	12224
203.60168	12101
203.6232	12143
203.6447	12140
203.66621	12080
203.68771	12004
203.70923	11918
203.73073	11866
203.75224	11779
203.77374	11731
203.79526	11704
203.81676	11674
203.83827	11668
203.85977	11703
203.88127	11669
203.90279	11705
203.92429	11702
203.94579	11684
203.9673	11728
203.9888	11713
204.01031	11730
204.03181	11723
204.05331	11757
204.07481	11815
204.09633	11780
204.11783	11779
204.13933	11844
204.16084	11726
204.18234	11692
204.20384	11730
204.22534	11727
204.24684	11747
204.26836	11736
204.28986	11661
204.31136	11752
204.33286	11694
204.35435	11755
204.37587	11736
204.39737	11718
204.41887	11733
204.44037	11699
204.46187	11720
204.48337	11694
204.50487	11686
204.52637	11646
204.54787	11634
204.56937	11615
204.59087	11615
204.61237	11724
204.63387	11754
204.65536	11724
204.67688	11780
204.69836	11724
204.71986	11716
204.74136	11650
204.76286	11731
204.78436	11693
204.80586	11718
204.82736	11758
204.84886	11723
204.87036	11717
204.89186	11763
204.91336	11784
204.93486	11899
204.95636	11877
204.97784	11925
204.99934	11903
205.02084	11882
205.04234	11876
205.06384	11859
205.08534	11896
205.10683	11935
205.12833	11942
205.14983	11980
205.17133	11898
205.19281	11944
205.21431	12060
205.23581	12066
205.25731	11995
205.27879	12065
205.30029	12075
205.32179	12121
205.34328	12155
205.36478	12172
205.38628	12294
205.40776	12223
205.42926	12193
205.45074	12194
205.47224	12203
205.49374	12223
205.51523	12269
205.53673	12338
205.55821	12333
