Date and Time:                Sat Jan 28 17:07:35.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         200
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              229
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



207.10411	782
207.12561	753
207.14709	725
207.16859	719
207.19009	729
207.21158	733
207.23308	699
207.25456	728
207.27606	699
207.29755	725
207.31905	734
207.34053	1360
207.36203	759
207.38351	724
207.40501	702
207.4265	700
207.448	718
207.46948	699
207.49098	763
207.51247	709
207.53397	691
207.55545	711
207.57695	736
207.59843	708
207.61992	699
207.64142	717
207.6629	700
207.68439	696
207.70589	661
207.72737	685
207.74886	664
207.77036	695
207.79184	687
207.81332	706
207.83482	696
207.85631	725
207.87779	709
207.89928	707
207.92078	727
207.94226	738
207.96375	675
207.98523	714
208.00671	677
208.02821	686
208.0497	708
208.07118	703
208.09267	692
208.11415	656
208.13564	726
208.15712	676
208.17862	680
208.2001	689
208.22159	685
208.24307	705
208.26456	701
208.28604	713
208.30753	696
208.32901	756
208.35049	678
208.37198	663
208.39346	689
208.41495	662
208.43643	745
208.45792	661
208.4794	669
208.50089	651
208.52237	667
208.54385	688
208.56534	717
208.58681	685
208.60829	665
208.62978	666
208.65126	739
208.67274	663
208.69423	694
208.71571	702
208.7372	676
208.75867	652
208.78015	678
208.80164	676
208.82312	641
208.84459	678
208.86607	642
208.88756	657
208.90904	648
208.93051	661
208.952	663
208.97348	660
208.99496	654
209.01643	667
209.03792	665
209.0594	637
209.08087	665
209.10236	657
209.12384	638
209.14531	636
209.16679	687
209.18826	647
209.20975	642
209.23123	642
209.2527	636
209.27419	638
209.29565	637
209.31714	651
209.33861	609
209.36009	638
209.38156	634
209.40305	643
209.42451	689
209.446	712
209.46747	631
209.48895	637
209.51042	636
209.53191	624
209.55338	647
209.57484	628
209.59633	625
209.6178	666
209.63927	639
209.66075	650
209.68222	605
209.7037	629
209.72517	622
209.74664	634
209.76813	628
209.7896	666
209.81107	643
209.83253	611
209.85402	615
209.87549	665
209.89696	632
209.91843	631
209.93991	604
209.96138	635
