Date and Time:                Sat Jan 28 16:25:30.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              323
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



301.58331	50771
301.60434	51128
301.6254	51397
301.64642	51615
301.66748	51782
301.68851	51956
301.70956	52096
301.73059	52206
301.75165	52323
301.77267	52414
301.79373	52495
301.81476	52570
301.83582	52662
301.85684	52732
301.8779	52805
301.89893	52850
301.91998	52907
301.94101	52945
301.96204	52985
301.98309	53040
302.00412	53070
302.02518	53093
302.0462	53129
302.06726	53176
302.08829	53193
302.10931	53219
302.13037	53248
302.1514	53266
302.17242	53289
302.19348	53303
302.21451	53316
302.23553	53331
302.25659	53340
302.27762	53353
302.29865	53353
302.3197	53358
302.34073	53372
302.36176	53374
302.38281	53361
302.40384	53360
302.42487	53356
302.44592	53350
302.46695	53350
302.48798	53340
302.509	53321
302.53006	53323
302.55109	53290
302.57211	53285
302.59314	53248
302.6142	53208
302.63522	53179
302.65625	53148
302.67728	53103
302.6983	53040
302.71936	52994
302.74039	52923
302.76141	52832
302.78244	52750
302.80347	52620
302.82449	52460
302.84555	52241
302.86658	51987
302.8876	51565
302.90863	50750
302.92966	45201
302.95068	39058
302.97171	38852
302.99274	38090
303.01379	37142
303.03482	36580
303.05585	36206
303.07687	35507
303.0979	34903
303.11893	34315
303.13995	33948
303.16098	33427
303.18201	32937
303.20303	32576
303.22406	32186
303.24509	31641
303.26611	31394
303.28714	31116
303.30817	31093
303.32919	30826
303.35022	30428
303.37125	30200
303.39227	29878
303.4133	29417
303.43433	28697
303.45535	28442
303.47638	28269
303.49741	27945
303.51843	27534
303.53946	27139
303.56049	26841
303.58151	26463
303.60254	26057
303.62357	25806
303.64459	25612
303.66562	25460
303.68661	25138
303.70764	24764
303.72867	24560
303.74969	24356
303.77072	24215
303.79175	24032
303.81277	23968
303.8338	23800
303.8548	23492
303.87582	23347
303.89685	23180
303.91788	22981
303.9389	22752
303.95993	22541
303.98093	22299
304.00195	22074
304.02298	21809
