Date and Time:                Sat Jan 28 16:01:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	311
233.25017	310
233.27155	310
233.29292	305
233.3143	307
233.33568	303
233.35706	301
233.37842	303
233.3998	305
233.42117	303
233.44255	307
233.46393	305
233.48531	300
233.50668	307
233.52805	309
233.54942	306
233.5708	310
233.59218	301
233.61356	305
233.63492	307
233.6563	309
233.67767	310
233.69904	306
233.72041	307
233.74179	310
233.76317	305
233.78453	308
233.80591	301
233.82729	308
233.84865	305
233.87003	305
233.89139	306
233.91277	311
233.93414	305
233.95551	305
233.97688	308
233.99825	306
234.01962	312
234.04099	308
234.06236	306
234.08374	302
234.1051	311
234.12648	304
234.14784	310
234.16922	307
234.19058	308
234.21194	309
234.23332	306
234.25468	301
234.27606	309
234.29742	308
234.31879	306
234.34016	311
234.36153	303
234.3829	306
234.40427	308
234.42563	303
234.44701	306
234.46837	309
234.48973	301
234.51111	305
234.53247	303
234.55383	301
234.5752	303
234.59657	301
234.61794	302
234.6393	302
234.66066	305
234.68202	301
234.7034	310
234.72476	304
234.74612	299
234.76749	313
234.78885	298
234.81021	307
234.83159	306
234.85295	310
234.87431	306
234.89568	299
234.91704	311
234.9384	308
234.95976	309
234.98112	300
235.00249	311
235.02385	302
235.04521	301
235.06657	307
235.08794	298
235.1093	307
235.13066	307
235.15202	302
235.17339	307
235.19475	302
235.21611	310
235.23747	304
235.25883	302
235.28018	309
235.30154	304
235.32291	299
235.34427	311
235.36563	301
235.38699	308
235.40836	307
235.4297	308
235.45107	301
235.47243	303
235.49379	308
235.51514	301
235.5365	311
235.55786	310
235.57922	302
235.60057	305
235.62193	304
235.6433	305
235.66464	306
235.686	298
235.70737	300
235.72871	295
235.75008	304
235.77144	306
235.79279	304
235.81415	299
235.83549	307
235.85686	305
235.87822	306
235.89957	305
235.92093	305
235.94228	299
235.96364	308
235.98499	313
236.00635	306
236.02769	309
236.04906	310
