Date and Time:                Sat Jan 28 16:01:26.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	297
233.25017	301
233.27155	303
233.29292	313
233.3143	299
233.33568	301
233.35706	303
233.37842	309
233.3998	303
233.42117	302
233.44255	304
233.46393	301
233.48531	300
233.50668	304
233.52805	300
233.54942	301
233.5708	308
233.59218	304
233.61356	305
233.63492	302
233.6563	307
233.67767	298
233.69904	299
233.72041	298
233.74179	307
233.76317	299
233.78453	312
233.80591	299
233.82729	299
233.84865	300
233.87003	300
233.89139	311
233.91277	304
233.93414	302
233.95551	295
233.97688	302
233.99825	308
234.01962	298
234.04099	306
234.06236	302
234.08374	301
234.1051	300
234.12648	301
234.14784	306
234.16922	302
234.19058	306
234.21194	309
234.23332	302
234.25468	306
234.27606	303
234.29742	304
234.31879	301
234.34016	299
234.36153	306
234.3829	298
234.40427	306
234.42563	306
234.44701	308
234.46837	307
234.48973	301
234.51111	303
234.53247	304
234.55383	302
234.5752	304
234.59657	307
234.61794	306
234.6393	300
234.66066	307
234.68202	307
234.7034	306
234.72476	300
234.74612	298
234.76749	301
234.78885	309
234.81021	302
234.83159	301
234.85295	305
234.87431	308
234.89568	304
234.91704	307
234.9384	302
234.95976	299
234.98112	302
235.00249	308
235.02385	303
235.04521	304
235.06657	302
235.08794	305
235.1093	304
235.13066	304
235.15202	304
235.17339	303
235.19475	302
235.21611	309
235.23747	305
235.25883	303
235.28018	307
235.30154	303
235.32291	302
235.34427	299
235.36563	303
235.38699	307
235.40836	301
235.4297	307
235.45107	299
235.47243	291
235.49379	303
235.51514	305
235.5365	302
235.55786	302
235.57922	303
235.60057	308
235.62193	303
235.6433	304
235.66464	301
235.686	300
235.70737	310
235.72871	303
235.75008	307
235.77144	297
235.79279	301
235.81415	304
235.83549	300
235.85686	308
235.87822	300
235.89957	300
235.92093	308
235.94228	299
235.96364	310
235.98499	301
236.00635	302
236.02769	302
236.04906	305
236.0704	302
