Date and Time:                Sat Jan 28 15:57:37.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	347
233.25017	348
233.27155	345
233.29292	346
233.3143	346
233.33568	347
233.35706	348
233.37842	347
233.3998	346
233.42117	346
233.44255	348
233.46393	351
233.48531	347
233.50668	346
233.52805	342
233.54942	350
233.5708	346
233.59218	346
233.61356	349
233.63492	347
233.6563	343
233.67767	347
233.69904	350
233.72041	348
233.74179	348
233.76317	344
233.78453	343
233.80591	348
233.82729	343
233.84865	348
233.87003	353
233.89139	347
233.91277	345
233.93414	343
233.95551	349
233.97688	346
233.99825	343
234.01962	345
234.04099	344
234.06236	348
234.08374	344
234.1051	347
234.12648	351
234.14784	346
234.16922	349
234.19058	343
234.21194	350
234.23332	348
234.25468	352
234.27606	344
234.29742	341
234.31879	341
234.34016	349
234.36153	350
234.3829	346
234.40427	354
234.42563	346
234.44701	346
234.46837	349
234.48973	346
234.51111	351
234.53247	344
234.55383	352
234.5752	350
234.59657	350
234.61794	340
234.6393	351
234.66066	347
234.68202	351
234.7034	348
234.72476	352
234.74612	343
234.76749	351
234.78885	343
234.81021	350
234.83159	348
234.85295	347
234.87431	347
234.89568	345
234.91704	343
234.9384	349
234.95976	351
234.98112	348
235.00249	342
235.02385	348
235.04521	349
235.06657	342
235.08794	344
235.1093	348
235.13066	349
235.15202	343
235.17339	349
235.19475	343
235.21611	350
235.23747	348
235.25883	345
235.28018	344
235.30154	343
235.32291	350
235.34427	348
235.36563	347
235.38699	345
235.40836	351
235.4297	346
235.45107	348
235.47243	348
235.49379	346
235.51514	349
235.5365	349
235.55786	353
235.57922	345
235.60057	342
235.62193	347
235.6433	349
235.66464	347
235.686	353
235.70737	339
235.72871	348
235.75008	349
235.77144	349
235.79279	352
235.81415	348
235.83549	343
235.85686	350
235.87822	348
235.89957	346
235.92093	341
235.94228	354
235.96364	346
235.98499	349
236.00635	342
236.02769	344
236.04906	346
