Date and Time:                Sat Jan 28 16:12:11.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	20564
268.42731	19491
268.44852	19536
268.46973	19567
268.49094	19615
268.51215	19825
268.53336	19825
268.55457	19731
268.57578	19657
268.59698	19664
268.61819	19568
268.6394	19387
268.66061	19318
268.68179	19368
268.703	19418
268.72421	19542
268.74542	19580
268.76663	19562
268.78784	19763
268.80905	19642
268.83026	19534
268.85147	19593
268.87268	19686
268.89389	19593
268.91507	19641
268.93628	19498
268.95749	19564
268.9787	19541
268.99991	19619
269.02112	19615
269.04233	19707
269.06351	19739
269.08472	19859
269.10593	19745
269.12714	19711
269.14835	19751
269.16953	19793
269.19073	19803
269.21194	19925
269.23315	19901
269.25436	19834
269.27554	19758
269.29675	19618
269.31796	19643
269.33917	19728
269.36035	19845
269.38156	19965
269.40277	19849
269.42398	19794
269.44516	19761
269.46637	19758
269.48758	19651
269.50876	19757
269.52997	19788
269.55118	19833
269.57236	19801
269.59357	19656
269.61478	19690
269.63599	19782
269.65717	19898
269.67838	19848
269.69955	19858
269.72076	19909
269.74197	19794
269.76315	19868
269.78436	19803
269.80557	19660
269.82675	19661
269.84796	19463
269.86914	19274
269.89035	19185
269.91156	19284
269.93274	19130
269.95395	19216
269.97513	19238
269.99634	19143
270.01752	19151
270.03873	19127
270.05994	19268
270.08112	19122
270.10233	19178
270.1235	19282
270.14471	19367
270.16589	19449
270.1871	19599
270.20828	19613
270.22949	19597
270.25067	19449
270.27188	19367
270.29306	19421
270.31427	19421
270.33545	19461
270.35666	19404
270.37784	19274
270.39902	19314
270.42023	19359
270.44141	19263
270.46262	19208
270.4838	19405
270.505	19482
270.52618	19478
270.54736	19285
270.56857	19283
270.58975	19427
270.61096	19547
270.63214	19698
270.65332	19830
270.67453	19881
270.69571	19852
270.71689	19808
270.7381	19784
270.75928	19763
270.78046	19782
270.80167	19750
270.82285	19945
270.84402	19925
270.86523	19785
