Date and Time:                Sat Jan 28 16:13:16.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	10738
268.42731	9970
268.44852	9808
268.46973	9620
268.49094	9544
268.51215	9534
268.53336	9401
268.55457	9344
268.57578	9279
268.59698	9278
268.61819	9231
268.6394	9123
268.66061	9091
268.68179	9121
268.703	9146
268.72421	9180
268.74542	9158
268.76663	9171
268.78784	9242
268.80905	9211
268.83026	9187
268.85147	9197
268.87268	9196
268.89389	9194
268.91507	9163
268.93628	9180
268.95749	9202
268.9787	9161
268.99991	9187
269.02112	9147
269.04233	9231
269.06351	9261
269.08472	9245
269.10593	9207
269.12714	9200
269.14835	9200
269.16953	9232
269.19073	9226
269.21194	9261
269.23315	9251
269.25436	9277
269.27554	9226
269.29675	9144
269.31796	9144
269.33917	9240
269.36035	9247
269.38156	9230
269.40277	9264
269.42398	9228
269.44516	9182
269.46637	9215
269.48758	9210
269.50876	9179
269.52997	9275
269.55118	9288
269.57236	9270
269.59357	9177
269.61478	9184
269.63599	9258
269.65717	9329
269.67838	9289
269.69955	9325
269.72076	9351
269.74197	9314
269.76315	9289
269.78436	9273
269.80557	9248
269.82675	9261
269.84796	9141
269.86914	9060
269.89035	9076
269.91156	9081
269.93274	9072
269.95395	9044
269.97513	9081
269.99634	9076
270.01752	9025
270.03873	9052
270.05994	9034
270.08112	9036
270.10233	9035
270.1235	9105
270.14471	9226
270.16589	9216
270.1871	9205
270.20828	9182
270.22949	9236
270.25067	9229
270.27188	9192
270.29306	9133
270.31427	9193
270.33545	9216
270.35666	9129
270.37784	9121
270.39902	9144
270.42023	9203
270.44141	9121
270.46262	9117
270.4838	9148
270.505	9175
270.52618	9123
270.54736	9076
270.56857	9129
270.58975	9129
270.61096	9246
270.63214	9296
270.65332	9309
270.67453	9307
270.69571	9333
270.71689	9234
270.7381	9280
270.75928	9266
270.78046	9230
270.80167	9271
270.82285	9317
270.84402	9301
270.86523	9191
