Date and Time:                Sat Jan 28 16:01:57.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	299
233.25017	309
233.27155	305
233.29292	304
233.3143	307
233.33568	305
233.35706	300
233.37842	307
233.3998	302
233.42117	305
233.44255	299
233.46393	306
233.48531	308
233.50668	307
233.52805	306
233.54942	300
233.5708	307
233.59218	306
233.61356	304
233.63492	305
233.6563	307
233.67767	308
233.69904	306
233.72041	307
233.74179	311
233.76317	307
233.78453	312
233.80591	297
233.82729	308
233.84865	301
233.87003	306
233.89139	302
233.91277	308
233.93414	306
233.95551	306
233.97688	310
233.99825	307
234.01962	308
234.04099	306
234.06236	305
234.08374	308
234.1051	303
234.12648	306
234.14784	310
234.16922	302
234.19058	303
234.21194	303
234.23332	306
234.25468	302
234.27606	311
234.29742	298
234.31879	305
234.34016	310
234.36153	301
234.3829	307
234.40427	305
234.42563	308
234.44701	302
234.46837	308
234.48973	304
234.51111	307
234.53247	307
234.55383	307
234.5752	298
234.59657	304
234.61794	304
234.6393	302
234.66066	307
234.68202	307
234.7034	312
234.72476	303
234.74612	303
234.76749	303
234.78885	310
234.81021	302
234.83159	306
234.85295	306
234.87431	298
234.89568	298
234.91704	298
234.9384	307
234.95976	305
234.98112	305
235.00249	305
235.02385	304
235.04521	303
235.06657	308
235.08794	302
235.1093	304
235.13066	304
235.15202	310
235.17339	302
235.19475	307
235.21611	303
235.23747	301
235.25883	307
235.28018	311
235.30154	303
235.32291	302
235.34427	304
235.36563	302
235.38699	308
235.40836	308
235.4297	307
235.45107	303
235.47243	314
235.49379	303
235.51514	305
235.5365	304
235.55786	303
235.57922	306
235.60057	304
235.62193	306
235.6433	303
235.66464	303
235.686	304
235.70737	302
235.72871	305
235.75008	307
235.77144	305
235.79279	301
235.81415	304
235.83549	303
235.85686	305
235.87822	300
235.89957	303
235.92093	306
235.94228	302
235.96364	298
235.98499	306
236.00635	308
236.02769	305
236.04906	306
