Date and Time:                Sat Jan 28 15:59:59.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              255
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



233.22879	351
233.25017	353
233.27155	355
233.29292	351
233.3143	347
233.33568	345
233.35706	347
233.37842	345
233.3998	345
233.42117	349
233.44255	353
233.46393	344
233.48531	349
233.50668	348
233.52805	353
233.54942	346
233.5708	341
233.59218	347
233.61356	342
233.63492	337
233.6563	344
233.67767	350
233.69904	351
233.72041	345
233.74179	343
233.76317	348
233.78453	346
233.80591	343
233.82729	347
233.84865	348
233.87003	347
233.89139	342
233.91277	351
233.93414	343
233.95551	343
233.97688	344
233.99825	343
234.01962	347
234.04099	342
234.06236	346
234.08374	346
234.1051	350
234.12648	339
234.14784	349
234.16922	346
234.19058	347
234.21194	336
234.23332	344
234.25468	350
234.27606	346
234.29742	350
234.31879	345
234.34016	347
234.36153	338
234.3829	343
234.40427	342
234.42563	343
234.44701	348
234.46837	339
234.48973	343
234.51111	352
234.53247	345
234.55383	354
234.5752	348
234.59657	347
234.61794	344
234.6393	343
234.66066	347
234.68202	343
234.7034	344
234.72476	350
234.74612	343
234.76749	344
234.78885	352
234.81021	345
234.83159	345
234.85295	347
234.87431	348
234.89568	346
234.91704	347
234.9384	348
234.95976	346
234.98112	342
235.00249	350
235.02385	352
235.04521	351
235.06657	349
235.08794	348
235.1093	348
235.13066	354
235.15202	347
235.17339	342
235.19475	349
235.21611	342
235.23747	355
235.25883	351
235.28018	345
235.30154	354
235.32291	344
235.34427	352
235.36563	342
235.38699	340
235.40836	348
235.4297	347
235.45107	343
235.47243	350
235.49379	348
235.51514	345
235.5365	341
235.55786	345
235.57922	344
235.60057	351
235.62193	349
235.6433	349
235.66464	352
235.686	347
235.70737	345
235.72871	354
235.75008	347
235.77144	350
235.79279	351
235.81415	352
235.83549	350
235.85686	341
235.87822	350
235.89957	348
235.92093	351
235.94228	343
235.96364	347
235.98499	343
236.00635	348
236.02769	350
236.04906	349
