Date and Time:                Sat Jan 28 16:13:56.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	297
268.42731	305
268.44852	305
268.46973	301
268.49094	305
268.51215	297
268.53336	306
268.55457	301
268.57578	304
268.59698	300
268.61819	298
268.6394	298
268.66061	303
268.68179	300
268.703	303
268.72421	298
268.74542	297
268.76663	296
268.78784	301
268.80905	297
268.83026	297
268.85147	305
268.87268	307
268.89389	304
268.91507	296
268.93628	304
268.95749	301
268.9787	304
268.99991	300
269.02112	300
269.04233	295
269.06351	299
269.08472	293
269.10593	305
269.12714	303
269.14835	301
269.16953	300
269.19073	301
269.21194	307
269.23315	300
269.25436	304
269.27554	303
269.29675	308
269.31796	298
269.33917	294
269.36035	304
269.38156	299
269.40277	305
269.42398	304
269.44516	299
269.46637	295
269.48758	302
269.50876	295
269.52997	302
269.55118	295
269.57236	304
269.59357	304
269.61478	299
269.63599	299
269.65717	309
269.67838	301
269.69955	302
269.72076	306
269.74197	303
269.76315	301
269.78436	308
269.80557	297
269.82675	293
269.84796	308
269.86914	301
269.89035	299
269.91156	303
269.93274	306
269.95395	302
269.97513	299
269.99634	302
270.01752	295
270.03873	301
270.05994	304
270.08112	304
270.10233	300
270.1235	298
270.14471	301
270.16589	299
270.1871	304
270.20828	295
270.22949	303
270.25067	305
270.27188	308
270.29306	309
270.31427	301
270.33545	303
270.35666	298
270.37784	303
270.39902	300
270.42023	302
270.44141	301
270.46262	301
270.4838	304
270.505	301
270.52618	304
270.54736	303
270.56857	306
270.58975	304
270.61096	298
270.63214	300
270.65332	293
270.67453	307
270.69571	296
270.71689	302
270.7381	300
270.75928	303
270.78046	303
270.80167	294
270.82285	299
270.84402	300
270.86523	302
270.88641	306
270.90759	302
270.9288	300
270.94998	297
270.97116	307
270.99237	298
271.01355	300
271.03473	301
271.05591	303
271.07712	297
271.0983	298
271.11948	297
271.14066	300
271.16183	294
271.18304	304
271.20422	301
