Date and Time:                Sat Jan 28 16:12:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              290
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



268.4061	20474
268.42731	19558
268.44852	19555
268.46973	19496
268.49094	19546
268.51215	19776
268.53336	19887
268.55457	19685
268.57578	19602
268.59698	19605
268.61819	19600
268.6394	19366
268.66061	19275
268.68179	19347
268.703	19478
268.72421	19442
268.74542	19538
268.76663	19561
268.78784	19668
268.80905	19628
268.83026	19486
268.85147	19585
268.87268	19591
268.89389	19512
268.91507	19586
268.93628	19468
268.95749	19519
268.9787	19566
268.99991	19481
269.02112	19633
269.04233	19677
269.06351	19739
269.08472	19708
269.10593	19733
269.12714	19668
269.14835	19782
269.16953	19784
269.19073	19766
269.21194	19873
269.23315	19868
269.25436	19834
269.27554	19660
269.29675	19623
269.31796	19585
269.33917	19698
269.36035	19801
269.38156	19927
269.40277	19848
269.42398	19796
269.44516	19696
269.46637	19702
269.48758	19639
269.50876	19664
269.52997	19809
269.55118	19824
269.57236	19817
269.59357	19588
269.61478	19644
269.63599	19790
269.65717	19880
269.67838	19872
269.69955	19878
269.72076	19888
269.74197	19768
269.76315	19886
269.78436	19753
269.80557	19747
269.82675	19636
269.84796	19422
269.86914	19212
269.89035	19275
269.91156	19172
269.93274	19179
269.95395	19193
269.97513	19203
269.99634	19130
270.01752	19060
270.03873	19112
270.05994	19098
270.08112	19094
270.10233	19137
270.1235	19229
270.14471	19380
270.16589	19481
270.1871	19470
270.20828	19514
270.22949	19488
270.25067	19427
270.27188	19320
270.29306	19309
270.31427	19430
270.33545	19437
270.35666	19282
270.37784	19255
270.39902	19292
270.42023	19269
270.44141	19232
270.46262	19158
270.4838	19364
270.505	19450
270.52618	19406
270.54736	19213
270.56857	19272
270.58975	19424
270.61096	19552
270.63214	19595
270.65332	19725
270.67453	19900
270.69571	19880
270.71689	19805
270.7381	19706
270.75928	19706
270.78046	19674
270.80167	19799
270.82285	19888
270.84402	19954
270.86523	19748
