Date and Time:                Sat Jan 28 15:05:29.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              299
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



277.45346	16180
277.47461	15494
277.49579	15478
277.51694	15433
277.53812	15445
277.55927	15642
277.58044	15576
277.60159	15497
277.62277	15471
277.64392	15471
277.6651	15402
277.68625	15268
277.70743	15203
277.72858	15266
277.74976	15276
277.7709	15328
277.79208	15312
277.81323	15433
277.83441	15486
277.85556	15482
277.87671	15372
277.89789	15388
277.91904	15471
277.94022	15398
277.96136	15418
277.98254	15398
278.00369	15411
278.02484	15408
278.04602	15528
278.06717	15530
278.08832	15525
278.1095	15610
278.13065	15628
278.15182	15593
278.17297	15536
278.19412	15623
278.2153	15637
278.23645	15673
278.2576	15692
278.27878	15762
278.29993	15700
278.32108	15631
278.34222	15560
278.3634	15502
278.38455	15617
278.4057	15750
278.42688	15944
278.44803	15793
278.46918	15789
278.49033	15697
278.51151	15718
278.53265	15768
278.5538	15826
278.57495	15913
278.59613	15855
278.61728	15852
278.63843	15809
278.65958	15855
278.68073	15960
278.7019	15985
278.72305	15959
278.7442	16022
278.76535	16028
278.7865	15937
278.80765	15987
278.82883	15947
278.84998	15938
278.87112	15922
278.89227	15733
278.91342	15571
278.93457	15575
278.95572	15582
278.9769	15554
278.99805	15557
279.0192	15567
279.04034	15527
279.06149	15586
279.08264	15547
279.10379	15525
279.12494	15561
279.14609	15525
279.16724	15667
279.18839	15665
279.20953	15776
279.23068	15855
279.25183	15886
279.27298	15952
279.29413	15859
279.31528	15770
279.33643	15764
279.35757	15887
279.37872	15856
279.39987	15830
279.42102	15859
279.44217	15878
279.46332	15855
279.48447	15804
279.50562	15771
279.52676	15794
279.54791	15991
279.56906	15999
279.59021	15889
279.61136	15916
279.63251	16014
279.65366	16094
279.6748	16180
279.69595	16309
279.7171	16392
279.73822	16356
279.75937	16365
279.78052	16340
279.80167	16336
279.82281	16267
279.84396	16367
279.86511	16536
279.88623	16489
