Date and Time:                Sat Jan 28 15:17:17.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              380
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



358.91272	301
358.93347	296
358.95419	304
358.97491	302
358.99567	302
359.01639	297
359.03711	304
359.05786	300
359.07858	297
359.0993	303
359.12003	301
359.14078	301
359.1615	300
359.18222	296
359.20294	305
359.22369	302
359.24442	302
359.26514	302
359.28586	299
359.30658	299
359.32733	310
359.34805	304
359.36877	303
359.3895	303
359.41022	301
359.43094	300
359.45169	301
359.47241	302
359.49313	301
359.51385	301
359.53458	302
359.5553	302
359.57602	301
359.59674	307
359.61749	300
359.63821	300
359.65894	301
359.67966	302
359.70038	305
359.7211	300
359.74182	301
359.76254	299
359.78326	304
359.80399	304
359.82471	302
359.84543	303
359.86615	303
359.88687	299
359.90759	301
359.92831	300
359.94904	306
359.96976	302
359.99048	303
360.0112	302
360.03192	299
360.05264	302
360.07336	298
360.09409	305
360.11481	305
360.13553	303
360.15625	304
360.17694	308
360.19766	302
360.21838	302
360.23911	296
360.25983	302
360.28055	305
360.30127	307
360.32199	301
360.34268	303
360.3634	307
360.38412	304
360.40485	307
360.42557	298
360.44626	302
360.46698	305
360.4877	298
360.50842	304
360.52914	296
360.54984	299
360.57056	304
360.59128	304
360.612	303
360.63269	300
360.65341	302
360.67413	299
360.69485	301
360.71555	298
360.73627	304
360.75699	303
360.77768	306
360.7984	304
360.81912	301
360.83981	301
360.86053	306
360.88126	300
360.90195	299
360.92267	301
360.94339	305
360.96408	302
360.9848	297
361.00552	309
361.02621	300
361.04694	296
361.06763	297
361.08835	308
361.10907	303
361.12976	302
361.15048	306
361.17117	301
361.19189	303
361.21259	299
361.23331	299
361.254	303
361.27472	302
361.29541	297
361.31613	297
361.33682	295
361.35754	304
361.37823	298
361.39896	301
361.41965	301
361.44037	309
361.46106	303
361.48178	302
361.50247	302
361.52319	304
361.54388	296
361.56458	300
361.5853	297
361.60599	299
361.62671	297
361.6474	297
