Date and Time:                Sat Jan 28 14:51:26.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	299
318.6994	301
318.72034	305
318.7413	303
318.76227	301
318.7832	300
318.80417	302
318.8251	307
318.84607	302
318.867	297
318.88797	304
318.90891	301
318.92987	301
318.95081	297
318.97177	297
318.99271	294
319.01367	297
319.03461	300
319.05557	303
319.07651	306
319.09747	295
319.11841	301
319.13937	288
319.16031	299
319.18127	298
319.20221	296
319.22318	302
319.24411	298
319.26505	300
319.28601	301
319.30695	303
319.32791	302
319.34885	289
319.36978	300
319.39075	302
319.41168	302
319.43262	302
319.45358	300
319.47452	305
319.49545	303
319.51642	302
319.53735	304
319.55829	305
319.57925	306
319.60019	305
319.62112	298
319.64209	298
319.66302	294
319.68396	302
319.7049	302
319.72586	307
319.7468	297
319.76773	306
319.78867	300
319.80963	298
319.83057	306
319.8515	306
319.87244	305
319.8934	299
319.91434	301
319.93527	302
319.95621	303
319.97714	304
319.99811	302
320.01904	300
320.03998	302
320.06091	296
320.08185	306
320.10278	307
320.12375	301
320.14468	299
320.16562	311
320.18655	298
320.20749	300
320.22842	303
320.24936	302
320.27029	301
320.29123	299
320.31216	302
320.33313	303
320.35406	306
320.375	300
320.39594	303
320.41687	309
320.43781	300
320.45874	299
320.47968	300
320.50061	296
320.52155	296
320.54248	295
320.56342	302
320.58435	297
320.60529	303
320.62622	309
320.64716	299
320.66809	302
320.68903	303
320.70996	298
320.7309	301
320.75183	296
320.77274	295
320.79367	295
320.81461	301
320.83554	304
320.85648	302
320.87741	302
320.89835	300
320.91928	301
320.94022	303
320.96115	295
320.98206	302
321.00299	298
321.02393	301
321.04486	301
321.0658	296
321.08673	300
321.10764	303
321.12857	304
321.14951	300
321.17044	302
321.19138	300
321.21228	300
321.23322	306
321.25415	303
321.27509	302
321.29602	304
321.31693	307
321.33786	302
321.3588	299
321.37973	302
321.40063	308
321.42157	305
321.4425	301
