Date and Time:                Sat Jan 28 14:51:14.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	301
318.6994	299
318.72034	302
318.7413	297
318.76227	300
318.7832	298
318.80417	305
318.8251	303
318.84607	299
318.867	299
318.88797	308
318.90891	304
318.92987	303
318.95081	301
318.97177	304
318.99271	301
319.01367	303
319.03461	299
319.05557	299
319.07651	304
319.09747	303
319.11841	297
319.13937	308
319.16031	298
319.18127	304
319.20221	302
319.22318	301
319.24411	298
319.26505	307
319.28601	300
319.30695	304
319.32791	302
319.34885	301
319.36978	302
319.39075	305
319.41168	301
319.43262	308
319.45358	299
319.47452	300
319.49545	299
319.51642	300
319.53735	304
319.55829	301
319.57925	302
319.60019	303
319.62112	295
319.64209	303
319.66302	298
319.68396	295
319.7049	307
319.72586	304
319.7468	298
319.76773	303
319.78867	300
319.80963	303
319.83057	297
319.8515	310
319.87244	298
319.8934	293
319.91434	300
319.93527	304
319.95621	301
319.97714	302
319.99811	303
320.01904	307
320.03998	299
320.06091	299
320.08185	304
320.10278	299
320.12375	302
320.14468	298
320.16562	299
320.18655	300
320.20749	301
320.22842	300
320.24936	299
320.27029	301
320.29123	302
320.31216	299
320.33313	297
320.35406	299
320.375	299
320.39594	303
320.41687	295
320.43781	299
320.45874	301
320.47968	303
320.50061	302
320.52155	303
320.54248	297
320.56342	294
320.58435	299
320.60529	296
320.62622	301
320.64716	298
320.66809	293
320.68903	305
320.70996	301
320.7309	300
320.75183	299
320.77274	303
320.79367	298
320.81461	306
320.83554	302
320.85648	299
320.87741	297
320.89835	304
320.91928	299
320.94022	305
320.96115	295
320.98206	298
321.00299	301
321.02393	309
321.04486	302
321.0658	301
321.08673	312
321.10764	304
321.12857	297
321.14951	300
321.17044	302
321.19138	303
321.21228	299
321.23322	304
321.25415	301
321.27509	301
321.29602	301
321.31693	298
321.33786	304
321.3588	305
321.37973	303
321.40063	302
321.42157	304
321.4425	305
