Date and Time:                Sat Jan 28 14:49:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	767
318.6994	755
318.72034	773
318.7413	777
318.76227	803
318.7832	810
318.80417	833
318.8251	836
318.84607	848
318.867	871
318.88797	895
318.90891	913
318.92987	941
318.95081	950
318.97177	985
318.99271	1013
319.01367	1058
319.03461	1105
319.05557	1153
319.07651	1212
319.09747	1259
319.11841	1335
319.13937	1420
319.16031	1490
319.18127	1604
319.20221	1725
319.22318	1847
319.24411	1982
319.26505	2170
319.28601	2373
319.30695	2605
319.32791	2885
319.34885	3197
319.36978	3505
319.39075	3845
319.41168	4306
319.43262	4778
319.45358	5292
319.47452	5911
319.49545	6501
319.51642	7064
319.53735	7800
319.55829	8472
319.57925	9216
319.60019	9981
319.62112	10732
319.64209	11472
319.66302	12202
319.68396	12819
319.7049	13402
319.72586	13952
319.7468	14477
319.76773	15070
319.78867	15571
319.80963	15899
319.83057	16166
319.8515	16353
319.87244	16621
319.8934	16892
319.91434	17203
319.93527	17419
319.95621	17560
319.97714	17667
319.99811	17757
320.01904	17816
320.03998	17943
320.06091	17933
320.08185	17934
320.10278	17898
320.12375	17909
320.14468	17933
320.16562	18073
320.18655	17974
320.20749	18164
320.22842	18262
320.24936	18368
320.27029	18544
320.29123	18588
320.31216	18677
320.33313	18774
320.35406	18928
320.375	19231
320.39594	19539
320.41687	19807
320.43781	20098
320.45874	20142
320.47968	20317
320.50061	20289
320.52155	20233
320.54248	20298
320.56342	20560
320.58435	20767
320.60529	20821
320.62622	20973
320.64716	21117
320.66809	21084
320.68903	21212
320.70996	21378
320.7309	21669
320.75183	21958
320.77274	21995
320.79367	21838
320.81461	22009
320.83554	22172
320.85648	22531
320.87741	22693
320.89835	22794
320.91928	22956
320.94022	22827
320.96115	22674
320.98206	22837
321.00299	22659
321.02393	22462
321.04486	22560
321.0658	22579
321.08673	22564
321.10764	22348
321.12857	22099
321.14951	21989
