Date and Time:                Sat Jan 28 14:47:42.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	749
318.6994	721
318.72034	745
318.7413	745
318.76227	760
318.7832	781
318.80417	798
318.8251	798
318.84607	831
318.867	837
318.88797	843
318.90891	855
318.92987	878
318.95081	897
318.97177	938
318.99271	944
319.01367	982
319.03461	1008
319.05557	1045
319.07651	1097
319.09747	1150
319.11841	1206
319.13937	1253
319.16031	1330
319.18127	1398
319.20221	1507
319.22318	1591
319.24411	1672
319.26505	1849
319.28601	1985
319.30695	2146
319.32791	2329
319.34885	2569
319.36978	2774
319.39075	3055
319.41168	3362
319.43262	3701
319.45358	4083
319.47452	4512
319.49545	4975
319.51642	5399
319.53735	5959
319.55829	6463
319.57925	7069
319.60019	7661
319.62112	8296
319.64209	8953
319.66302	9614
319.68396	10165
319.7049	10768
319.72586	11372
319.7468	12008
319.76773	12554
319.78867	13047
319.80963	13467
319.83057	13816
319.8515	14135
319.87244	14511
319.8934	14880
319.91434	15281
319.93527	15513
319.95621	15758
319.97714	15996
319.99811	16143
320.01904	16413
320.03998	16654
320.06091	16757
320.08185	16904
320.10278	16933
320.12375	16975
320.14468	17236
320.16562	17342
320.18655	17583
320.20749	17828
320.22842	18086
320.24936	18299
320.27029	18544
320.29123	18630
320.31216	18879
320.33313	19056
320.35406	19397
320.375	19779
320.39594	20319
320.41687	20645
320.43781	20933
320.45874	21050
320.47968	21323
320.50061	21326
320.52155	21312
320.54248	21505
320.56342	21708
320.58435	22027
320.60529	22080
320.62622	22141
320.64716	22092
320.66809	22185
320.68903	22079
320.70996	22141
320.7309	22309
320.75183	22597
320.77274	22383
320.79367	22168
320.81461	22175
320.83554	22297
320.85648	22400
320.87741	22351
320.89835	22245
320.91928	22192
320.94022	21899
320.96115	21598
320.98206	21545
321.00299	21283
321.02393	21065
321.04486	20896
321.0658	20797
321.08673	20581
321.10764	20281
321.12857	19946
321.14951	19677
