Date and Time:                Sat Jan 28 14:48:32.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	753
318.6994	733
318.72034	750
318.7413	768
318.76227	793
318.7832	799
318.80417	808
318.8251	818
318.84607	842
318.867	849
318.88797	870
318.90891	886
318.92987	891
318.95081	929
318.97177	966
318.99271	980
319.01367	1012
319.03461	1052
319.05557	1104
319.07651	1156
319.09747	1219
319.11841	1259
319.13937	1345
319.16031	1429
319.18127	1524
319.20221	1617
319.22318	1734
319.24411	1862
319.26505	2029
319.28601	2214
319.30695	2431
319.32791	2672
319.34885	2937
319.36978	3225
319.39075	3560
319.41168	3966
319.43262	4377
319.45358	4822
319.47452	5322
319.49545	5908
319.51642	6504
319.53735	7102
319.55829	7766
319.57925	8410
319.60019	9114
319.62112	9846
319.64209	10566
319.66302	11231
319.68396	11828
319.7049	12437
319.72586	12965
319.7468	13534
319.76773	14071
319.78867	14498
319.80963	14927
319.83057	15137
319.8515	15376
319.87244	15681
319.8934	15963
319.91434	16322
319.93527	16431
319.95621	16660
319.97714	16855
319.99811	16967
320.01904	17124
320.03998	17235
320.06091	17327
320.08185	17418
320.10278	17328
320.12375	17303
320.14468	17480
320.16562	17608
320.18655	17823
320.20749	17922
320.22842	18064
320.24936	18166
320.27029	18337
320.29123	18501
320.31216	18673
320.33313	18813
320.35406	19091
320.375	19483
320.39594	19826
320.41687	20095
320.43781	20418
320.45874	20574
320.47968	20730
320.50061	20693
320.52155	20818
320.54248	20945
320.56342	21190
320.58435	21426
320.60529	21571
320.62622	21581
320.64716	21704
320.66809	21676
320.68903	21732
320.70996	21874
320.7309	22234
320.75183	22441
320.77274	22449
320.79367	22227
320.81461	22303
320.83554	22506
320.85648	22725
320.87741	22744
320.89835	22769
320.91928	22906
320.94022	22686
320.96115	22447
320.98206	22468
321.00299	22261
321.02393	21999
321.04486	21916
321.0658	21836
321.08673	21761
321.10764	21421
321.12857	21234
321.14951	20833
