Date and Time:                Sat Jan 28 14:51:08.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.18
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	300
318.6994	306
318.72034	299
318.7413	301
318.76227	304
318.7832	302
318.80417	299
318.8251	302
318.84607	304
318.867	301
318.88797	307
318.90891	300
318.92987	307
318.95081	302
318.97177	302
318.99271	301
319.01367	303
319.03461	304
319.05557	308
319.07651	298
319.09747	298
319.11841	299
319.13937	300
319.16031	302
319.18127	303
319.20221	302
319.22318	302
319.24411	308
319.26505	307
319.28601	307
319.30695	301
319.32791	305
319.34885	299
319.36978	306
319.39075	300
319.41168	297
319.43262	305
319.45358	303
319.47452	297
319.49545	299
319.51642	301
319.53735	299
319.55829	297
319.57925	301
319.60019	301
319.62112	305
319.64209	299
319.66302	303
319.68396	305
319.7049	300
319.72586	304
319.7468	304
319.76773	301
319.78867	303
319.80963	302
319.83057	300
319.8515	308
319.87244	304
319.8934	299
319.91434	305
319.93527	305
319.95621	302
319.97714	299
319.99811	303
320.01904	299
320.03998	298
320.06091	303
320.08185	303
320.10278	300
320.12375	301
320.14468	305
320.16562	304
320.18655	300
320.20749	298
320.22842	302
320.24936	304
320.27029	308
320.29123	298
320.31216	305
320.33313	302
320.35406	307
320.375	300
320.39594	302
320.41687	301
320.43781	302
320.45874	297
320.47968	300
320.50061	303
320.52155	302
320.54248	304
320.56342	302
320.58435	303
320.60529	301
320.62622	301
320.64716	302
320.66809	297
320.68903	302
320.70996	307
320.7309	302
320.75183	308
320.77274	307
320.79367	295
320.81461	303
320.83554	304
320.85648	307
320.87741	300
320.89835	305
320.91928	306
320.94022	306
320.96115	305
320.98206	302
321.00299	303
321.02393	299
321.04486	307
321.0658	305
321.08673	300
321.10764	295
321.12857	304
321.14951	304
321.17044	301
321.19138	303
321.21228	303
321.23322	308
321.25415	299
321.27509	305
321.29602	307
321.31693	302
321.33786	305
321.3588	305
321.37973	302
321.40063	298
321.42157	304
321.4425	304
