Date and Time:                Sat Jan 28 14:47:48.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	745
318.6994	736
318.72034	750
318.7413	753
318.76227	771
318.7832	764
318.80417	794
318.8251	804
318.84607	824
318.867	827
318.88797	845
318.90891	867
318.92987	884
318.95081	911
318.97177	932
318.99271	961
319.01367	983
319.03461	1027
319.05557	1067
319.07651	1107
319.09747	1150
319.11841	1214
319.13937	1262
319.16031	1325
319.18127	1405
319.20221	1497
319.22318	1586
319.24411	1697
319.26505	1837
319.28601	1982
319.30695	2158
319.32791	2347
319.34885	2564
319.36978	2800
319.39075	3052
319.41168	3377
319.43262	3709
319.45358	4068
319.47452	4479
319.49545	4933
319.51642	5377
319.53735	5940
319.55829	6487
319.57925	7087
319.60019	7652
319.62112	8360
319.64209	8970
319.66302	9601
319.68396	10176
319.7049	10779
319.72586	11371
319.7468	11918
319.76773	12555
319.78867	13072
319.80963	13469
319.83057	13845
319.8515	14131
319.87244	14479
319.8934	14918
319.91434	15249
319.93527	15563
319.95621	15746
319.97714	16022
319.99811	16216
320.01904	16377
320.03998	16593
320.06091	16760
320.08185	16897
320.10278	16967
320.12375	16966
320.14468	17164
320.16562	17372
320.18655	17557
320.20749	17809
320.22842	18101
320.24936	18291
320.27029	18426
320.29123	18659
320.31216	18856
320.33313	19113
320.35406	19344
320.375	19801
320.39594	20291
320.41687	20634
320.43781	20991
320.45874	21065
320.47968	21318
320.50061	21304
320.52155	21272
320.54248	21438
320.56342	21718
320.58435	21949
320.60529	22084
320.62622	22067
320.64716	22100
320.66809	22133
320.68903	22047
320.70996	22128
320.7309	22370
320.75183	22498
320.77274	22431
320.79367	22211
320.81461	22184
320.83554	22260
320.85648	22336
320.87741	22309
320.89835	22242
320.91928	22204
320.94022	21850
320.96115	21592
320.98206	21503
321.00299	21305
321.02393	21033
321.04486	20817
321.0658	20817
321.08673	20562
321.10764	20226
321.12857	19942
321.14951	19709
