Date and Time:                Sat Jan 28 14:48:38.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	744
318.6994	737
318.72034	760
318.7413	769
318.76227	779
318.7832	791
318.80417	795
318.8251	824
318.84607	832
318.867	848
318.88797	873
318.90891	882
318.92987	892
318.95081	932
318.97177	953
318.99271	966
319.01367	1002
319.03461	1050
319.05557	1105
319.07651	1162
319.09747	1208
319.11841	1270
319.13937	1342
319.16031	1415
319.18127	1517
319.20221	1622
319.22318	1736
319.24411	1862
319.26505	2038
319.28601	2222
319.30695	2420
319.32791	2671
319.34885	2958
319.36978	3239
319.39075	3582
319.41168	3956
319.43262	4376
319.45358	4870
319.47452	5391
319.49545	5914
319.51642	6472
319.53735	7125
319.55829	7779
319.57925	8435
319.60019	9159
319.62112	9834
319.64209	10608
319.66302	11288
319.68396	11807
319.7049	12438
319.72586	13016
319.7468	13537
319.76773	13959
319.78867	14489
319.80963	14914
319.83057	15165
319.8515	15346
319.87244	15666
319.8934	16000
319.91434	16264
319.93527	16482
319.95621	16603
319.97714	16846
319.99811	16915
320.01904	17069
320.03998	17211
320.06091	17268
320.08185	17277
320.10278	17291
320.12375	17254
320.14468	17453
320.16562	17619
320.18655	17676
320.20749	17920
320.22842	18031
320.24936	18186
320.27029	18278
320.29123	18455
320.31216	18632
320.33313	18748
320.35406	19094
320.375	19437
320.39594	19869
320.41687	20155
320.43781	20396
320.45874	20493
320.47968	20623
320.50061	20715
320.52155	20715
320.54248	20947
320.56342	21140
320.58435	21387
320.60529	21545
320.62622	21571
320.64716	21570
320.66809	21645
320.68903	21745
320.70996	21882
320.7309	22132
320.75183	22444
320.77274	22420
320.79367	22177
320.81461	22306
320.83554	22421
320.85648	22637
320.87741	22759
320.89835	22675
320.91928	22798
320.94022	22645
320.96115	22494
320.98206	22451
321.00299	22201
321.02393	21929
321.04486	21849
321.0658	21837
321.08673	21594
321.10764	21372
321.12857	21137
321.14951	20859
