Date and Time:                Sat Jan 28 14:48:17.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              340
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



318.67844	763
318.6994	752
318.72034	774
318.7413	780
318.76227	794
318.7832	813
318.80417	824
318.8251	835
318.84607	848
318.867	856
318.88797	879
318.90891	904
318.92987	913
318.95081	948
318.97177	971
318.99271	995
319.01367	1023
319.03461	1065
319.05557	1116
319.07651	1160
319.09747	1187
319.11841	1259
319.13937	1305
319.16031	1385
319.18127	1462
319.20221	1524
319.22318	1609
319.24411	1708
319.26505	1844
319.28601	1976
319.30695	2137
319.32791	2325
319.34885	2506
319.36978	2736
319.39075	2966
319.41168	3221
319.43262	3550
319.45358	3871
319.47452	4279
319.49545	4669
319.51642	5099
319.53735	5592
319.55829	6045
319.57925	6606
319.60019	7172
319.62112	7774
319.64209	8380
319.66302	9077
319.68396	9617
319.7049	10211
319.72586	10773
319.7468	11339
319.76773	11998
319.78867	12526
319.80963	13102
319.83057	13505
319.8515	13923
319.87244	14334
319.8934	14855
319.91434	15364
319.93527	15741
319.95621	16147
319.97714	16609
319.99811	16905
320.01904	17286
320.03998	17592
320.06091	17836
320.08185	18050
320.10278	18397
320.12375	18554
320.14468	18926
320.16562	19226
320.18655	19563
320.20749	19866
320.22842	20136
320.24936	20341
320.27029	20640
320.29123	20916
320.31216	21210
320.33313	21353
320.35406	21656
320.375	21967
320.39594	22288
320.41687	22668
320.43781	22760
320.45874	22730
320.47968	22782
320.50061	22627
320.52155	22434
320.54248	22387
320.56342	22332
320.58435	22352
320.60529	22096
320.62622	21799
320.64716	21578
320.66809	21349
320.68903	21029
320.70996	20904
320.7309	20876
320.75183	20834
320.77274	20518
320.79367	20003
320.81461	19771
320.83554	19698
320.85648	19539
320.87741	19425
320.89835	19313
320.91928	19272
320.94022	18965
320.96115	18684
320.98206	18485
321.00299	18218
321.02393	17920
321.04486	17862
321.0658	17774
321.08673	17650
321.10764	17525
321.12857	17316
321.14951	17229
