Date and Time:                Wed May 25 13:23:36.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



251.94595	757
251.95586	736
251.96576	714
251.97566	706
251.98557	735
251.99545	725
252.00536	698
252.01526	709
252.02516	690
252.03505	698
252.04495	701
252.05486	749
252.06476	697
252.07465	708
252.08455	693
252.09445	710
252.10434	712
252.11424	698
252.12415	748
252.13403	706
252.14394	697
252.15384	706
252.16373	723
252.17363	691
252.18353	686
252.19342	714
252.20332	687
252.21321	690
252.22311	661
252.23302	683
252.2429	669
252.25281	686
252.2627	677
252.2726	696
252.28249	696
252.29239	706
252.30228	707
252.31218	707
252.32207	711
252.33197	726
252.34186	670
252.35176	714
252.36165	680
252.37155	682
252.38144	704
252.39134	697
252.40123	690
252.41112	658
252.42102	725
252.43091	678
252.44081	673
252.4507	678
252.46059	686
252.47049	700
252.48038	696
252.49028	698
252.50017	684
252.51006	715
252.51996	686
252.52985	660
252.53973	694
252.54962	660
252.55952	745
252.56941	657
252.5793	671
252.58919	661
252.59909	687
252.60898	689
252.61887	716
252.62875	687
252.63866	665
252.64854	685
252.65843	718
252.66832	675
252.67821	692
252.68811	680
252.698	694
252.70789	654
252.71777	660
252.72766	680
252.73755	660
252.74744	684
252.75734	647
252.76723	667
252.77711	649
252.787	662
252.79689	656
252.80678	668
252.81667	655
252.82655	685
252.83644	660
252.84633	647
252.85622	661
252.8661	656
252.87599	645
252.88588	639
252.89577	694
252.90565	656
252.91554	645
252.92543	641
252.93532	640
252.94521	618
252.95509	641
252.96498	657
252.97487	626
252.98476	636
252.99463	630
253.00452	648
253.0144	685
253.02429	705
253.03418	626
253.04407	647
253.05396	635
253.06383	624
253.07372	661
253.0836	650
253.09349	643
253.10338	659
253.11325	648
253.12314	665
253.13303	613
253.14291	625
253.15279	629
253.16267	632
253.17256	627
253.18245	680
253.19232	644
253.20221	624
253.2121	624
253.22197	673
253.23186	646
253.24174	632
253.25163	615
253.26151	619
