Date and Time:                Wed May 25 13:20:11.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



251.94595	298
251.95586	310
251.96576	303
251.97566	302
251.98557	306
251.99545	303
252.00536	305
252.01526	300
252.02516	300
252.03505	300
252.04495	300
252.05486	307
252.06476	303
252.07465	296
252.08455	298
252.09445	298
252.10434	298
252.11424	303
252.12415	302
252.13403	301
252.14394	302
252.15384	304
252.16373	306
252.17363	299
252.18353	296
252.19342	298
252.20332	306
252.21321	301
252.22311	303
252.23302	299
252.2429	300
252.25281	299
252.2627	299
252.2726	302
252.28249	303
252.29239	296
252.30228	305
252.31218	298
252.32207	297
252.33197	303
252.34186	293
252.35176	296
252.36165	300
252.37155	301
252.38144	305
252.39134	302
252.40123	309
252.41112	299
252.42102	303
252.43091	306
252.44081	300
252.4507	303
252.46059	299
252.47049	296
252.48038	303
252.49028	300
252.50017	294
252.51006	301
252.51996	306
252.52985	303
252.53973	300
252.54962	311
252.55952	295
252.56941	304
252.5793	298
252.58919	303
252.59909	311
252.60898	299
252.61887	303
252.62875	303
252.63866	306
252.64854	303
252.65843	302
252.66832	307
252.67821	304
252.68811	299
252.698	298
252.70789	301
252.71777	300
252.72766	304
252.73755	303
252.74744	302
252.75734	296
252.76723	305
252.77711	305
252.787	299
252.79689	307
252.80678	296
252.81667	304
252.82655	304
252.83644	306
252.84633	304
252.85622	301
252.8661	307
252.87599	305
252.88588	297
252.89577	299
252.90565	298
252.91554	306
252.92543	297
252.93532	303
252.94521	304
252.95509	298
252.96498	296
252.97487	305
252.98476	301
252.99463	307
253.00452	302
253.0144	301
253.02429	304
253.03418	299
253.04407	307
253.05396	304
253.06383	297
253.07372	298
253.0836	306
253.09349	305
253.10338	302
253.11325	300
253.12314	305
253.13303	300
253.14291	299
253.15279	305
253.16267	304
253.17256	301
253.18245	299
253.19232	304
253.20221	298
253.2121	305
253.22197	305
253.23186	305
253.24174	303
253.25163	305
253.26151	305
