Date and Time:                Wed May 25 13:08:05.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         180
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



251.94595	2810
251.95586	2669
251.96576	2660
251.97566	2651
251.98557	2680
251.99545	2637
252.00536	2657
252.01526	2654
252.02516	2651
252.03505	2648
252.04495	2653
252.05486	2680
252.06476	2662
252.07465	2680
252.08455	2630
252.09445	2641
252.10434	2673
252.11424	2655
252.12415	2712
252.13403	2644
252.14394	2642
252.15384	2655
252.16373	2686
252.17363	2646
252.18353	2674
252.19342	2669
252.20332	2661
252.21321	2649
252.22311	2617
252.23302	2662
252.2429	2599
252.25281	2626
252.2627	2653
252.2726	2661
252.28249	2659
252.29239	2659
252.30228	2680
252.31218	2663
252.32207	2676
252.33197	2709
252.34186	2643
252.35176	2671
252.36165	2641
252.37155	2653
252.38144	2695
252.39134	2686
252.40123	2674
252.41112	2629
252.42102	2691
252.43091	2658
252.44081	2656
252.4507	2657
252.46059	2653
252.47049	2681
252.48038	2653
252.49028	2693
252.50017	2699
252.51006	2708
252.51996	2686
252.52985	2673
252.53973	2680
252.54962	2657
252.55952	2738
252.56941	2666
252.5793	2693
252.58919	2654
252.59909	2691
252.60898	2684
252.61887	2734
252.62875	2681
252.63866	2696
252.64854	2692
252.65843	2760
252.66832	2681
252.67821	2719
252.68811	2695
252.698	2708
252.70789	2687
252.71777	2713
252.72766	2723
252.73755	2683
252.74744	2727
252.75734	2683
252.76723	2712
252.77711	2680
252.787	2698
252.79689	2677
252.80678	2698
252.81667	2699
252.82655	2708
252.83644	2692
252.84633	2678
252.85622	2690
252.8661	2695
252.87599	2668
252.88588	2672
252.89577	2733
252.90565	2664
252.91554	2686
252.92543	2665
252.93532	2691
252.94521	2670
252.95509	2692
252.96498	2686
252.97487	2674
252.98476	2680
252.99463	2671
253.00452	2700
253.0144	2759
253.02429	3064
253.03418	2706
253.04407	2691
253.05396	2696
253.06383	2676
253.07372	2717
253.0836	2699
253.09349	2710
