Date and Time:                Wed May 25 13:19:52.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.55
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              262
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



251.94595	17513
251.95586	16715
251.96576	16818
251.97566	16808
251.98557	16824
251.99545	16775
252.00536	16685
252.01526	16720
252.02516	16913
252.03505	16872
252.04495	16846
252.05486	16778
252.06476	16860
252.07465	16812
252.08455	16830
252.09445	16749
252.10434	16845
252.11424	17062
252.12415	17165
252.13403	17031
252.14394	16971
252.15384	16924
252.16373	16945
252.17363	16922
252.18353	16805
252.19342	16773
252.20332	16882
252.21321	16888
252.22311	16832
252.23302	16818
252.2429	16932
252.25281	16938
252.2627	16954
252.2726	16985
252.28249	16954
252.29239	16886
252.30228	16862
252.31218	16922
252.32207	16891
252.33197	16878
252.34186	16823
252.35176	17005
252.36165	17099
252.37155	17257
252.38144	17109
252.39134	17075
252.40123	17065
252.41112	17078
252.42102	17216
252.43091	17273
252.44081	17409
252.4507	17536
252.46059	17493
252.47049	17519
252.48038	17537
252.49028	17461
252.50017	17485
252.51006	17617
252.51996	17666
252.52985	17593
252.53973	17545
252.54962	17528
252.55952	17547
252.56941	17606
252.5793	17475
252.58919	17472
252.59909	17491
252.60898	17479
252.61887	17482
252.62875	17563
252.63866	17630
252.64854	17545
252.65843	17716
252.66832	17775
252.67821	17839
252.68811	17785
252.698	17777
252.70789	17812
252.71777	17756
252.72766	17766
252.73755	17736
252.74744	17748
252.75734	17746
252.76723	17681
252.77711	17612
252.787	17674
252.79689	17751
252.80678	17690
252.81667	17694
252.82655	17684
252.83644	17734
252.84633	17705
252.85622	17680
252.8661	17759
252.87599	17937
252.88588	17970
252.89577	17996
252.90565	18001
252.91554	17953
252.92543	17904
252.93532	17919
252.94521	17910
252.95509	17970
252.96498	18009
252.97487	17921
252.98476	17891
252.99463	17856
253.00452	17834
253.0144	17950
253.02429	18002
253.03418	18191
253.04407	18249
253.05396	18296
253.06383	18209
253.07372	18142
253.0836	18293
253.09349	18322
