Date and Time:                Wed May 25 12:30:24.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	307
262.0311	306
262.04095	307
262.05078	298
262.06061	301
262.07043	304
262.08026	309
262.09009	307
262.09991	309
262.10974	300
262.11957	296
262.12939	299
262.13922	310
262.14905	298
262.15887	301
262.1687	304
262.17853	305
262.18835	304
262.19818	303
262.20801	306
262.21783	306
262.22766	300
262.23749	302
262.24731	309
262.25714	306
262.26697	314
262.27676	305
262.28659	301
262.29642	302
262.30624	303
262.31607	299
262.3259	303
262.33572	299
262.34555	300
262.35538	304
262.3652	308
262.37503	303
262.38486	304
262.39465	306
262.40448	304
262.41431	298
262.42413	303
262.43396	298
262.44379	296
262.45361	302
262.46344	305
262.47324	302
262.48306	299
262.49289	308
262.50272	304
262.51254	300
262.52237	303
262.53217	301
262.54199	301
262.55182	311
262.56165	307
262.57147	305
262.5813	303
262.59109	301
262.60092	307
262.61075	299
262.62057	300
262.63037	306
262.6402	304
262.65002	299
262.65985	304
262.66968	306
262.67947	301
262.6893	300
262.69913	304
262.70895	303
262.71875	304
262.72858	297
262.7384	302
262.7482	302
262.75803	302
262.76785	303
262.77768	303
262.78748	306
262.7973	302
262.80713	303
262.81693	308
262.82675	305
262.83658	305
262.84637	308
262.8562	300
262.86603	301
262.87585	305
262.88565	304
262.89548	304
262.90527	307
262.9151	308
262.92493	304
262.93472	296
262.94455	307
262.95438	303
262.96417	300
262.974	309
262.98383	306
262.99362	304
263.00345	300
263.01324	302
263.02307	302
263.0329	307
263.04269	302
263.05252	301
263.06232	310
263.07214	307
263.08194	308
263.09177	303
263.10159	307
263.11139	305
263.12122	307
263.13101	299
263.14084	310
263.15063	307
263.16046	300
263.17026	305
263.18008	303
263.18988	301
263.19971	305
263.2095	303
263.21933	297
263.22913	304
263.23895	302
263.24875	307
263.25858	303
263.26837	304
263.2782	302
263.28799	302
263.29782	304
263.30762	308
263.31744	300
263.32724	305
