Date and Time:                Wed May 25 12:28:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	319
262.0311	319
262.04095	315
262.05078	319
262.06061	319
262.07043	327
262.08026	319
262.09009	320
262.09991	323
262.10974	316
262.11957	319
262.12939	327
262.13922	324
262.14905	316
262.15887	319
262.1687	320
262.17853	322
262.18835	318
262.19818	318
262.20801	318
262.21783	319
262.22766	316
262.23749	322
262.24731	320
262.25714	325
262.26697	322
262.27676	323
262.28659	320
262.29642	317
262.30624	329
262.31607	321
262.3259	323
262.33572	322
262.34555	321
262.35538	328
262.3652	320
262.37503	320
262.38486	320
262.39465	329
262.40448	323
262.41431	322
262.42413	319
262.43396	325
262.44379	322
262.45361	324
262.46344	327
262.47324	326
262.48306	325
262.49289	317
262.50272	321
262.51254	326
262.52237	320
262.53217	318
262.54199	319
262.55182	329
262.56165	323
262.57147	322
262.5813	320
262.59109	320
262.60092	320
262.61075	320
262.62057	313
262.63037	328
262.6402	323
262.65002	321
262.65985	320
262.66968	317
262.67947	321
262.6893	316
262.69913	326
262.70895	322
262.71875	328
262.72858	323
262.7384	322
262.7482	318
262.75803	325
262.76785	319
262.77768	328
262.78748	321
262.7973	327
262.80713	322
262.81693	320
262.82675	326
262.83658	325
262.84637	322
262.8562	320
262.86603	319
262.87585	324
262.88565	324
262.89548	318
262.90527	327
262.9151	321
262.92493	318
262.93472	320
262.94455	318
262.95438	320
262.96417	318
262.974	319
262.98383	322
262.99362	324
263.00345	331
263.01324	331
263.02307	320
263.0329	325
263.04269	321
263.05252	324
263.06232	322
263.07214	327
263.08194	322
263.09177	328
263.10159	315
263.11139	321
263.12122	324
263.13101	321
263.14084	322
263.15063	323
263.16046	328
263.17026	325
263.18008	323
263.18988	321
263.19971	327
263.2095	321
263.21933	314
263.22913	319
263.23895	326
263.24875	322
263.25858	317
263.26837	324
263.2782	319
263.28799	322
263.29782	322
263.30762	318
263.31744	325
263.32724	323
