Date and Time:                Wed May 25 12:25:57.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	317
262.0311	319
262.04095	318
262.05078	319
262.06061	321
262.07043	318
262.08026	323
262.09009	317
262.09991	318
262.10974	316
262.11957	319
262.12939	322
262.13922	312
262.14905	313
262.15887	320
262.1687	318
262.17853	318
262.18835	318
262.19818	323
262.20801	323
262.21783	321
262.22766	322
262.23749	315
262.24731	325
262.25714	321
262.26697	328
262.27676	314
262.28659	317
262.29642	321
262.30624	319
262.31607	320
262.3259	321
262.33572	318
262.34555	321
262.35538	320
262.3652	316
262.37503	320
262.38486	319
262.39465	320
262.40448	326
262.41431	321
262.42413	306
262.43396	323
262.44379	317
262.45361	319
262.46344	317
262.47324	311
262.48306	317
262.49289	324
262.50272	317
262.51254	324
262.52237	322
262.53217	320
262.54199	328
262.55182	315
262.56165	322
262.57147	312
262.5813	321
262.59109	316
262.60092	315
262.61075	317
262.62057	317
262.63037	316
262.6402	316
262.65002	320
262.65985	321
262.66968	322
262.67947	317
262.6893	324
262.69913	323
262.70895	323
262.71875	322
262.72858	317
262.7384	316
262.7482	323
262.75803	326
262.76785	315
262.77768	320
262.78748	322
262.7973	320
262.80713	321
262.81693	320
262.82675	319
262.83658	324
262.84637	315
262.8562	320
262.86603	322
262.87585	318
262.88565	316
262.89548	322
262.90527	327
262.9151	316
262.92493	326
262.93472	323
262.94455	319
262.95438	319
262.96417	327
262.974	323
262.98383	320
262.99362	318
263.00345	323
263.01324	320
263.02307	324
263.0329	317
263.04269	318
263.05252	315
263.06232	322
263.07214	321
263.08194	321
263.09177	323
263.10159	325
263.11139	323
263.12122	322
263.13101	313
263.14084	323
263.15063	320
263.16046	320
263.17026	322
263.18008	321
263.18988	318
263.19971	316
263.2095	317
263.21933	319
263.22913	319
263.23895	323
263.24875	316
263.25858	322
263.26837	320
263.2782	323
263.28799	321
263.29782	318
263.30762	320
263.31744	318
263.32724	320
