Date and Time:                Wed May 25 12:27:40.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	323
262.0311	315
262.04095	321
262.05078	319
262.06061	319
262.07043	320
262.08026	319
262.09009	320
262.09991	317
262.10974	320
262.11957	316
262.12939	318
262.13922	320
262.14905	325
262.15887	314
262.1687	313
262.17853	324
262.18835	315
262.19818	317
262.20801	323
262.21783	316
262.22766	323
262.23749	320
262.24731	316
262.25714	320
262.26697	317
262.27676	324
262.28659	318
262.29642	320
262.30624	317
262.31607	326
262.3259	324
262.33572	316
262.34555	320
262.35538	307
262.3652	320
262.37503	322
262.38486	320
262.39465	320
262.40448	325
262.41431	313
262.42413	319
262.43396	317
262.44379	321
262.45361	324
262.46344	324
262.47324	318
262.48306	317
262.49289	319
262.50272	326
262.51254	321
262.52237	324
262.53217	323
262.54199	322
262.55182	325
262.56165	317
262.57147	322
262.5813	326
262.59109	320
262.60092	325
262.61075	320
262.62057	316
262.63037	319
262.6402	325
262.65002	326
262.65985	319
262.66968	329
262.67947	322
262.6893	317
262.69913	323
262.70895	318
262.71875	322
262.72858	327
262.7384	324
262.7482	325
262.75803	328
262.76785	324
262.77768	323
262.78748	316
262.7973	321
262.80713	319
262.81693	315
262.82675	316
262.83658	314
262.84637	323
262.8562	321
262.86603	320
262.87585	315
262.88565	323
262.89548	324
262.90527	318
262.9151	322
262.92493	321
262.93472	319
262.94455	311
262.95438	319
262.96417	315
262.974	321
262.98383	322
262.99362	314
263.00345	317
263.01324	319
263.02307	321
263.0329	327
263.04269	327
263.05252	323
263.06232	325
263.07214	325
263.08194	324
263.09177	324
263.10159	322
263.11139	323
263.12122	320
263.13101	316
263.14084	323
263.15063	319
263.16046	323
263.17026	322
263.18008	326
263.18988	323
263.19971	323
263.2095	321
263.21933	320
263.22913	321
263.23895	319
263.24875	323
263.25858	321
263.26837	321
263.2782	321
263.28799	319
263.29782	320
263.30762	324
263.31744	318
263.32724	326
