Date and Time:                Wed May 25 12:25:20.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	25997
262.0311	24885
262.04095	25052
262.05078	25130
262.06061	25147
262.07043	24934
262.08026	24755
262.09009	24876
262.09991	25119
262.10974	25083
262.11957	24994
262.12939	24953
262.13922	24979
262.14905	24960
262.15887	24903
262.1687	24714
262.17853	24896
262.18835	25236
262.19818	25338
262.20801	25159
262.21783	25022
262.22766	24859
262.23749	24871
262.24731	24785
262.25714	24635
262.26697	24574
262.27676	24772
262.28659	24649
262.29642	24583
262.30624	24570
262.31607	24647
262.3259	24668
262.33572	24721
262.34555	24763
262.35538	24781
262.3652	24502
262.37503	24499
262.38486	24649
262.39465	24526
262.40448	24429
262.41431	24439
262.42413	24569
262.43396	24940
262.44379	24915
262.45361	24827
262.46344	24778
262.47324	24676
262.48306	24749
262.49289	24791
262.50272	24896
262.51254	25177
262.52237	25274
262.53217	25252
262.54199	25202
262.55182	25142
262.56165	25235
262.57147	25193
262.5813	25233
262.59109	25324
262.60092	25320
262.61075	25197
262.62057	25146
262.63037	25213
262.6402	25183
262.65002	25062
262.65985	24972
262.66968	25052
262.67947	25003
262.6893	24938
262.69913	24923
262.70895	25036
262.71875	25020
262.72858	25109
262.7384	25242
262.7482	25353
262.75803	25232
262.76785	25224
262.77768	25217
262.78748	25177
262.7973	25110
262.80713	25070
262.81693	25048
262.82675	25050
262.83658	24878
262.84637	24846
262.8562	24814
262.86603	24951
262.87585	24948
262.88565	24900
262.89548	24906
262.90527	24797
262.9151	24837
262.92493	24833
262.93472	24973
262.94455	25177
262.95438	25301
262.96417	25265
262.974	25257
262.98383	25173
262.99362	25178
263.00345	25151
263.01324	25231
263.02307	25231
263.0329	25234
263.04269	25133
263.05252	25071
263.06232	24989
263.07214	24987
263.08194	25005
263.09177	25199
263.10159	25452
263.11139	25519
263.12122	25482
263.13101	25364
263.14084	25317
263.15063	25481
263.16046	25598
