Date and Time:                Wed May 25 12:39:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	302
278.15576	299
278.16547	303
278.17517	305
278.18491	299
278.19461	301
278.20432	306
278.21402	298
278.22372	297
278.23343	303
278.24313	306
278.25284	299
278.26254	307
278.27228	300
278.28198	304
278.29169	306
278.30139	299
278.3111	312
278.3208	299
278.33051	296
278.34021	304
278.34991	302
278.35962	296
278.36932	305
278.37903	299
278.38873	304
278.39844	303
278.40814	304
278.41788	303
278.42758	301
278.43729	303
278.44699	300
278.4567	298
278.4664	297
278.4761	302
278.48581	297
278.49551	304
278.50522	300
278.51492	303
278.52463	299
278.5343	303
278.54401	304
278.55371	303
278.56342	303
278.57312	305
278.58282	302
278.59253	298
278.60223	307
278.61194	301
278.62164	300
278.63135	300
278.64105	298
278.65076	303
278.66046	303
278.67017	308
278.67987	297
278.68954	295
278.69925	295
278.70895	300
278.71866	300
278.72836	305
278.73807	304
278.74777	301
278.75748	307
278.76715	304
278.77686	298
278.78656	301
278.79626	298
278.80597	303
278.81567	301
278.82535	303
278.83505	299
278.84476	298
278.85446	299
278.86417	298
278.87387	299
278.88354	300
278.89325	297
278.90295	299
278.91266	298
278.92233	309
278.93204	299
278.94174	301
278.95145	303
278.96115	304
278.97083	296
278.98053	297
278.99023	301
278.99994	305
279.00961	301
279.01932	302
279.02902	302
279.03873	300
279.0484	298
279.05811	301
279.06781	303
279.07748	304
279.08719	305
279.09689	304
279.10657	296
279.11627	305
279.12598	302
279.13568	302
279.14536	307
279.15506	305
279.16476	309
279.17444	301
279.18414	306
279.19382	305
279.20352	300
279.21323	300
279.2229	306
279.2326	295
279.24231	305
279.25198	304
279.26169	301
279.27136	305
279.28107	301
279.29077	299
279.30045	302
279.31015	306
279.31982	304
279.32953	300
279.33923	301
279.34891	306
279.35861	297
279.36829	294
279.37799	308
279.38766	305
279.39737	301
279.40707	301
279.41675	298
279.42645	305
279.43613	301
