Date and Time:                Wed May 25 12:38:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	35504
278.15576	34189
278.16547	34443
278.17517	34504
278.18491	34561
278.19461	34602
278.20432	34091
278.21402	34206
278.22372	34613
278.23343	34567
278.24313	34388
278.25284	34247
278.26254	34274
278.27228	34417
278.28198	34170
278.29169	33797
278.30139	33915
278.3111	34457
278.3208	34610
278.33051	34360
278.34021	34008
278.34991	33791
278.35962	33663
278.36932	33629
278.37903	33248
278.38873	33151
278.39844	33284
278.40814	33047
278.41788	32919
278.42758	32846
278.43729	33058
278.44699	32986
278.4567	33008
278.4664	33030
278.4761	32873
278.48581	32561
278.49551	32571
278.50522	32295
278.51492	32300
278.52463	32255
278.5343	31998
278.54401	32312
278.55371	32642
278.56342	32637
278.57312	32404
278.58282	32137
278.59253	32010
278.60223	31954
278.61194	32059
278.62164	32079
278.63135	32377
278.64105	32381
278.65076	32384
278.66046	32320
278.67017	32201
278.67987	31867
278.68954	31884
278.69925	31824
278.70895	31927
278.71866	31841
278.72836	31646
278.73807	31464
278.74777	31400
278.75748	31446
278.76715	31110
278.77686	31087
278.78656	30963
278.79626	30786
278.80597	30587
278.81567	30593
278.82535	30676
278.83505	30588
278.84476	30658
278.85446	30569
278.86417	30731
278.87387	30447
278.88354	30371
278.89325	30385
278.90295	30167
278.91266	29948
278.92233	29761
278.93204	29705
278.94174	29671
278.95145	29355
278.96115	29311
278.97083	29333
278.98053	29285
278.99023	29266
278.99994	29209
279.00961	28964
279.01932	29027
279.02902	28837
279.03873	28812
279.0484	29123
279.05811	29290
279.06781	29202
279.07748	29084
279.08719	29052
279.09689	29108
279.10657	28970
279.11627	28851
279.12598	28897
279.13568	28881
279.14536	28803
279.15506	28615
279.16476	28553
279.17444	28321
279.18414	28353
279.19382	28366
279.20352	28574
279.21323	28845
279.2229	29079
279.2326	28875
279.24231	28717
279.25198	28605
279.26169	28712
279.27136	28894
