Date and Time:                Wed May 25 12:29:58.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	303
262.0311	301
262.04095	299
262.05078	301
262.06061	301
262.07043	301
262.08026	301
262.09009	298
262.09991	303
262.10974	301
262.11957	297
262.12939	302
262.13922	300
262.14905	297
262.15887	306
262.1687	304
262.17853	299
262.18835	306
262.19818	301
262.20801	302
262.21783	301
262.22766	297
262.23749	307
262.24731	301
262.25714	308
262.26697	299
262.27676	296
262.28659	297
262.29642	311
262.30624	302
262.31607	300
262.3259	303
262.33572	305
262.34555	299
262.35538	306
262.3652	301
262.37503	299
262.38486	307
262.39465	305
262.40448	301
262.41431	303
262.42413	303
262.43396	307
262.44379	310
262.45361	306
262.46344	303
262.47324	302
262.48306	293
262.49289	304
262.50272	299
262.51254	297
262.52237	303
262.53217	298
262.54199	304
262.55182	301
262.56165	307
262.57147	298
262.5813	304
262.59109	302
262.60092	305
262.61075	300
262.62057	303
262.63037	304
262.6402	302
262.65002	299
262.65985	309
262.66968	299
262.67947	303
262.6893	298
262.69913	304
262.70895	302
262.71875	304
262.72858	303
262.7384	305
262.7482	299
262.75803	299
262.76785	305
262.77768	301
262.78748	307
262.7973	300
262.80713	292
262.81693	302
262.82675	297
262.83658	297
262.84637	290
262.8562	299
262.86603	302
262.87585	302
262.88565	302
262.89548	305
262.90527	298
262.9151	299
262.92493	297
262.93472	300
262.94455	303
262.95438	298
262.96417	302
262.974	300
262.98383	305
262.99362	298
263.00345	303
263.01324	298
263.02307	305
263.0329	296
263.04269	300
263.05252	305
263.06232	302
263.07214	301
263.08194	299
263.09177	306
263.10159	294
263.11139	298
263.12122	298
263.13101	304
263.14084	297
263.15063	303
263.16046	302
263.17026	297
263.18008	298
263.18988	297
263.19971	298
263.2095	302
263.21933	303
263.22913	303
263.23895	304
263.24875	296
263.25858	302
263.26837	302
263.2782	304
263.28799	305
263.29782	308
263.30762	296
263.31744	300
263.32724	298
