Date and Time:                Wed May 25 12:27:13.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	312
262.0311	316
262.04095	315
262.05078	313
262.06061	320
262.07043	321
262.08026	322
262.09009	320
262.09991	321
262.10974	318
262.11957	321
262.12939	319
262.13922	319
262.14905	320
262.15887	324
262.1687	311
262.17853	322
262.18835	321
262.19818	322
262.20801	320
262.21783	322
262.22766	325
262.23749	319
262.24731	321
262.25714	321
262.26697	315
262.27676	319
262.28659	320
262.29642	325
262.30624	319
262.31607	322
262.3259	315
262.33572	325
262.34555	318
262.35538	320
262.3652	323
262.37503	320
262.38486	321
262.39465	318
262.40448	321
262.41431	324
262.42413	319
262.43396	327
262.44379	317
262.45361	322
262.46344	316
262.47324	318
262.48306	321
262.49289	316
262.50272	324
262.51254	313
262.52237	323
262.53217	321
262.54199	322
262.55182	323
262.56165	325
262.57147	320
262.5813	325
262.59109	325
262.60092	321
262.61075	317
262.62057	317
262.63037	323
262.6402	324
262.65002	316
262.65985	322
262.66968	320
262.67947	314
262.6893	317
262.69913	320
262.70895	321
262.71875	321
262.72858	317
262.7384	320
262.7482	318
262.75803	317
262.76785	317
262.77768	322
262.78748	320
262.7973	323
262.80713	320
262.81693	318
262.82675	320
262.83658	317
262.84637	318
262.8562	323
262.86603	320
262.87585	323
262.88565	324
262.89548	320
262.90527	316
262.9151	326
262.92493	323
262.93472	323
262.94455	314
262.95438	315
262.96417	322
262.974	321
262.98383	321
262.99362	320
263.00345	322
263.01324	318
263.02307	317
263.0329	324
263.04269	320
263.05252	324
263.06232	317
263.07214	317
263.08194	318
263.09177	324
263.10159	324
263.11139	324
263.12122	319
263.13101	326
263.14084	320
263.15063	321
263.16046	321
263.17026	320
263.18008	316
263.18988	321
263.19971	322
263.2095	326
263.21933	324
263.22913	324
263.23895	362
263.24875	322
263.25858	330
263.26837	322
263.2782	323
263.28799	325
263.29782	321
263.30762	316
263.31744	328
263.32724	322
