Date and Time:                Wed May 25 12:39:56.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	299
278.15576	301
278.16547	300
278.17517	294
278.18491	305
278.19461	298
278.20432	301
278.21402	304
278.22372	298
278.23343	305
278.24313	300
278.25284	300
278.26254	299
278.27228	299
278.28198	310
278.29169	304
278.30139	308
278.3111	306
278.3208	305
278.33051	302
278.34021	298
278.34991	301
278.35962	301
278.36932	299
278.37903	310
278.38873	305
278.39844	303
278.40814	305
278.41788	301
278.42758	306
278.43729	306
278.44699	303
278.4567	305
278.4664	304
278.4761	303
278.48581	304
278.49551	302
278.50522	304
278.51492	307
278.52463	304
278.5343	304
278.54401	299
278.55371	300
278.56342	300
278.57312	304
278.58282	302
278.59253	304
278.60223	301
278.61194	304
278.62164	298
278.63135	300
278.64105	297
278.65076	301
278.66046	300
278.67017	296
278.67987	301
278.68954	303
278.69925	301
278.70895	307
278.71866	297
278.72836	303
278.73807	304
278.74777	300
278.75748	297
278.76715	303
278.77686	304
278.78656	303
278.79626	297
278.80597	302
278.81567	303
278.82535	306
278.83505	308
278.84476	303
278.85446	305
278.86417	299
278.87387	306
278.88354	299
278.89325	306
278.90295	308
278.91266	302
278.92233	299
278.93204	299
278.94174	303
278.95145	301
278.96115	298
278.97083	302
278.98053	307
278.99023	308
278.99994	302
279.00961	298
279.01932	306
279.02902	299
279.03873	308
279.0484	298
279.05811	304
279.06781	303
279.07748	303
279.08719	297
279.09689	300
279.10657	302
279.11627	300
279.12598	296
279.13568	304
279.14536	301
279.15506	304
279.16476	304
279.17444	306
279.18414	298
279.19382	297
279.20352	302
279.21323	302
279.2229	295
279.2326	303
279.24231	312
279.25198	299
279.26169	299
279.27136	301
279.28107	301
279.29077	304
279.30045	300
279.31015	299
279.31982	298
279.32953	307
279.33923	305
279.34891	298
279.35861	298
279.36829	303
279.37799	304
279.38766	301
279.39737	306
279.40707	303
279.41675	300
279.42645	301
279.43613	297
