Date and Time:                Wed May 25 12:36:37.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.7
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	35621
278.15576	34203
278.16547	34589
278.17517	34536
278.18491	34611
278.19461	34632
278.20432	34215
278.21402	34327
278.22372	34663
278.23343	34741
278.24313	34571
278.25284	34454
278.26254	34422
278.27228	34443
278.28198	34304
278.29169	33949
278.30139	34080
278.3111	34641
278.3208	34736
278.33051	34458
278.34021	34175
278.34991	33985
278.35962	33907
278.36932	33826
278.37903	33547
278.38873	33331
278.39844	33414
278.40814	33307
278.41788	33192
278.42758	33180
278.43729	33230
278.44699	33194
278.4567	33286
278.4664	33332
278.4761	33101
278.48581	32868
278.49551	32694
278.50522	32608
278.51492	32661
278.52463	32547
278.5343	32395
278.54401	32533
278.55371	32844
278.56342	32985
278.57312	32714
278.58282	32442
278.59253	32357
278.60223	32255
278.61194	32279
278.62164	32428
278.63135	32713
278.64105	32919
278.65076	32707
278.66046	32591
278.67017	32448
278.67987	32322
278.68954	32264
278.69925	32261
278.70895	32229
278.71866	32297
278.72836	31984
278.73807	31854
278.74777	31723
278.75748	31716
278.76715	31564
278.77686	31361
278.78656	31377
278.79626	31205
278.80597	30999
278.81567	31012
278.82535	31028
278.83505	31026
278.84476	30969
278.85446	30961
278.86417	30984
278.87387	30830
278.88354	30779
278.89325	30639
278.90295	30434
278.91266	30207
278.92233	30095
278.93204	29979
278.94174	29992
278.95145	29714
278.96115	29532
278.97083	29539
278.98053	29563
278.99023	29484
278.99994	29355
279.00961	29261
279.01932	29221
279.02902	29058
279.03873	29160
279.0484	29230
279.05811	29484
279.06781	29390
279.07748	29331
279.08719	29301
279.09689	29298
279.10657	29085
279.11627	29074
279.12598	29019
279.13568	29072
279.14536	28924
279.15506	28754
279.16476	28636
279.17444	28556
279.18414	28426
279.19382	28460
279.20352	28653
279.21323	29005
279.2229	29023
279.2326	28943
279.24231	28798
279.25198	28725
279.26169	28689
279.27136	28866
