Date and Time:                Wed May 25 12:36:04.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.25
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              288
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.14606	25931
278.15576	24826
278.16547	24899
278.17517	25002
278.18491	25186
278.19461	24979
278.20432	24726
278.21402	24727
278.22372	25097
278.23343	25079
278.24313	24955
278.25284	24822
278.26254	24854
278.27228	24902
278.28198	24853
278.29169	24703
278.30139	24642
278.3111	25145
278.3208	25315
278.33051	25023
278.34021	24821
278.34991	24687
278.35962	24728
278.36932	24587
278.37903	24347
278.38873	24248
278.39844	24281
278.40814	24399
278.41788	24243
278.42758	24265
278.43729	24418
278.44699	24386
278.4567	24355
278.4664	24470
278.4761	24424
278.48581	24235
278.49551	24102
278.50522	24224
278.51492	24255
278.52463	24194
278.5343	24024
278.54401	24313
278.55371	24544
278.56342	24673
278.57312	24437
278.58282	24396
278.59253	24322
278.60223	24355
278.61194	24383
278.62164	24387
278.63135	24836
278.64105	24980
278.65076	24910
278.66046	24888
278.67017	24786
278.67987	24770
278.68954	24696
278.69925	24779
278.70895	24812
278.71866	24909
278.72836	24741
278.73807	24756
278.74777	24734
278.75748	24646
278.76715	24576
278.77686	24669
278.78656	24546
278.79626	24508
278.80597	24416
278.81567	24438
278.82535	24516
278.83505	24504
278.84476	24631
278.85446	24683
278.86417	24771
278.87387	24795
278.88354	24664
278.89325	24669
278.90295	24627
278.91266	24472
278.92233	24345
278.93204	24365
278.94174	24394
278.95145	24280
278.96115	24127
278.97083	24315
278.98053	24340
278.99023	24255
278.99994	24254
279.00961	24183
279.01932	24205
279.02902	24159
279.03873	24228
279.0484	24385
279.05811	24650
279.06781	24591
279.07748	24608
279.08719	24534
279.09689	24590
279.10657	24565
279.11627	24513
279.12598	24555
279.13568	24607
279.14536	24612
279.15506	24493
279.16476	24428
279.17444	24334
279.18414	24304
279.19382	24360
279.20352	24541
279.21323	24750
279.2229	24959
279.2326	24862
279.24231	24763
279.25198	24688
279.26169	24803
279.27136	24926
