Date and Time:                Sun Jan 29 15:11:15.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              269
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



247.2984	304
247.31972	304
247.34102	309
247.36234	300
247.38365	306
247.40495	304
247.42627	307
247.44759	303
247.46889	308
247.4902	302
247.51151	305
247.53282	312
247.55412	299
247.57544	300
247.59674	305
247.61806	297
247.63936	303
247.66068	303
247.68198	296
247.70329	302
247.72459	299
247.74591	309
247.76721	305
247.78853	294
247.80983	305
247.83113	302
247.85245	300
247.87375	306
247.89505	301
247.91637	302
247.93767	296
247.95897	299
247.98029	300
248.00159	302
248.02289	299
248.0442	300
248.06551	297
248.08681	305
248.10811	303
248.12943	304
248.15073	303
248.17203	306
248.19333	306
248.21463	307
248.23595	306
248.25725	298
248.27855	307
248.29985	298
248.32115	307
248.34245	305
248.36375	294
248.38506	300
248.40636	307
248.42767	305
248.44897	303
248.47028	301
248.49158	300
248.51288	300
248.53418	301
248.55548	304
248.57678	300
248.59808	302
248.61938	301
248.64069	301
248.66197	296
248.68327	305
248.70457	302
248.72588	301
248.74718	308
248.76848	302
248.78978	307
248.81108	306
248.83238	303
248.85367	305
248.87497	307
248.89627	300
248.91757	306
248.93887	301
248.96016	297
248.98146	295
249.00276	301
249.02406	308
249.04535	303
249.06665	301
249.08795	302
249.10924	303
249.13054	296
249.15184	303
249.17313	302
249.19443	301
249.21573	304
249.23701	306
249.25832	308
249.27962	303
249.3009	306
249.3222	305
249.34349	300
249.36479	303
249.38608	304
249.40738	304
249.42867	302
249.44997	298
249.47125	300
249.49255	303
249.51384	306
249.53514	299
249.55643	305
249.57773	299
249.59901	301
249.6203	300
249.6416	304
249.66289	297
249.68419	303
249.70547	304
249.72676	304
249.74806	305
249.76935	303
249.79063	305
249.81194	304
249.83322	298
249.85451	305
249.87579	299
249.89709	294
249.91838	304
249.93967	301
249.96095	309
249.98225	304
250.00354	303
250.02483	299
250.04611	298
250.0674	303
250.08868	302
250.10999	296
