Date and Time:                Sun Jan 29 15:06:37.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         100
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              269
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



247.2984	1982
247.31972	1898
247.34102	1890
247.36234	1876
247.38365	1882
247.40495	1892
247.42627	1884
247.44759	1894
247.46889	1863
247.4902	1880
247.51151	1874
247.53282	1884
247.55412	1860
247.57544	1866
247.59674	1865
247.61806	1865
247.63936	1853
247.66068	1839
247.68198	1885
247.70329	1878
247.72459	1855
247.74591	1860
247.76721	1878
247.78853	1827
247.80983	1853
247.83113	1845
247.85245	1832
247.87375	1833
247.89505	1826
247.91637	1856
247.93767	1822
247.95897	1843
247.98029	1843
248.00159	1850
248.02289	1843
248.0442	1852
248.06551	1846
248.08681	1840
248.10811	1864
248.12943	1866
248.15073	1820
248.17203	1858
248.19333	1818
248.21463	1818
248.23595	1860
248.25725	1850
248.27855	1853
248.29985	1828
248.32115	1856
248.34245	1843
248.36375	1842
248.38506	1841
248.40636	1868
248.42767	1836
248.44897	1854
248.47028	1853
248.49158	1842
248.51288	1915
248.53418	1834
248.55548	1844
248.57678	1859
248.59808	1855
248.61938	1897
248.64069	1842
248.66197	1865
248.68327	1844
248.70457	1865
248.72588	1836
248.74718	1874
248.76848	1855
248.78978	1841
248.81108	1859
248.83238	1870
248.85367	1846
248.87497	1878
248.89627	1875
248.91757	1859
248.93887	1861
248.96016	1851
248.98146	1848
249.00276	1855
249.02406	1872
249.04535	1862
249.06665	1845
249.08795	1832
249.10924	1862
249.13054	1857
249.15184	1884
249.17313	1870
249.19443	1869
249.21573	1880
249.23701	1858
249.25832	1871
249.27962	1847
249.3009	1856
249.3222	1857
249.34349	1882
249.36479	1855
249.38608	1873
249.40738	1863
249.42867	1884
249.44997	1861
249.47125	1868
249.49255	1893
249.51384	1852
249.53514	1866
249.55643	1863
249.57773	1889
249.59901	1902
249.6203	1922
249.6416	1875
249.66289	1881
249.68419	1886
249.70547	1872
249.72676	1890
249.74806	1872
249.76935	1872
