Date and Time:                Sun Jan 29 15:29:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              427
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



406.20703	451
406.22748	445
406.24792	438
406.26837	442
406.28882	436
406.30927	437
406.32974	430
406.35019	433
406.37064	424
406.39108	433
406.41153	434
406.43198	443
406.45242	433
406.47287	437
406.49332	432
406.51379	439
406.53424	434
406.55469	433
406.57513	445
406.59558	431
406.61603	431
406.63647	431
406.65692	435
406.67737	430
406.69781	424
406.71826	440
406.73871	422
406.75916	427
406.7796	419
406.80005	426
406.8205	415
406.84094	427
406.86139	424
406.88184	425
406.90228	427
406.9227	438
406.94315	428
406.96359	428
406.98404	429
407.00449	439
407.02493	423
407.04538	421
407.06583	417
407.08627	422
407.10669	431
407.12714	427
407.14758	417
407.16803	424
407.18848	427
407.20892	422
407.22934	427
407.24979	421
407.27023	420
407.29068	435
407.31113	426
407.33154	428
407.35199	424
407.37244	453
407.39288	432
407.4133	427
407.43375	426
407.45419	422
407.47461	437
407.49506	418
407.5155	425
407.53595	413
407.55637	430
407.57681	423
407.59726	438
407.61768	423
407.63812	409
407.65857	417
407.67899	441
407.69943	417
407.71985	432
407.7403	428
407.76074	427
407.78116	421
407.80161	421
407.82202	417
407.84247	412
407.86292	425
407.88333	416
407.90378	420
407.92419	412
407.94464	418
407.96506	415
407.9855	428
408.00592	414
408.02637	416
408.04678	422
408.06723	415
408.08765	423
408.10809	416
408.12851	409
408.14896	412
408.16937	429
408.18982	417
408.21024	411
408.23065	407
408.2511	409
408.27151	405
408.29196	407
408.31238	418
408.33282	411
408.35324	414
408.37366	418
408.3941	415
408.41452	422
408.43494	428
408.45538	400
408.4758	406
408.49622	406
408.51666	406
408.53708	412
408.5575	410
408.57794	402
408.59836	409
408.61877	412
408.63919	411
408.65964	392
408.68005	394
408.70047	408
408.72089	412
408.74133	407
408.76175	415
408.78217	406
408.80258	398
408.82303	410
408.84344	415
408.86386	411
408.88428	403
408.90469	395
