Date and Time:                Sun Jan 29 15:24:23.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.3
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              427
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



406.20703	36120
406.22748	34882
406.24792	34883
406.26837	34934
406.28882	34956
406.30927	35228
406.32974	35068
406.35019	35086
406.37064	34978
406.39108	35009
406.41153	34829
406.43198	34881
406.45242	34763
406.47287	34764
406.49332	34885
406.51379	34945
406.53424	34831
406.55469	35003
406.57513	34886
406.59558	34816
406.61603	35007
406.63647	34936
406.65692	34882
406.67737	35104
406.69781	34860
406.71826	34762
406.73871	34870
406.75916	34546
406.7796	34873
406.80005	34830
406.8205	34841
406.84094	35055
406.86139	35051
406.88184	35059
406.90228	34897
406.9227	34874
406.94315	35086
406.96359	34994
406.98404	34986
407.00449	35385
407.02493	35091
407.04538	35057
407.06583	35115
407.08627	35000
407.10669	35023
407.12714	35211
407.14758	34933
407.16803	35126
407.18848	35145
407.20892	34933
407.22934	35117
407.24979	35000
407.27023	34908
407.29068	35322
407.31113	35241
407.33154	35134
407.35199	35084
407.37244	34844
407.39288	35121
407.4133	35373
407.43375	35197
407.45419	35312
407.47461	35170
407.49506	35282
407.5155	35340
407.53595	35143
407.55637	35254
407.57681	35347
407.59726	34930
407.61768	35051
407.63812	35078
407.65857	34878
407.67899	34935
407.69943	34766
407.71985	34794
407.7403	34926
407.76074	34778
407.78116	34803
407.80161	34851
407.82202	34596
407.84247	34996
407.86292	34683
407.88333	34926
407.90378	35136
407.92419	35184
407.94464	34996
407.96506	35230
407.9855	35001
408.00592	34777
408.02637	34930
408.04678	34936
408.06723	34931
408.08765	34908
408.10809	34709
408.12851	34901
408.14896	34810
408.16937	34707
408.18982	34941
408.21024	34868
408.23065	34859
408.2511	34994
408.27151	34718
408.29196	34982
408.31238	34897
408.33282	34959
408.35324	35216
408.37366	35222
408.3941	35187
408.41452	35337
408.43494	35114
408.45538	35227
408.4758	35333
408.49622	35144
408.51666	35369
408.53708	35285
408.5575	35202
