Date and Time:                Sun Jan 29 14:32:03.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	2731
288.53345	2596
288.55453	2607
288.57565	2620
288.59677	2621
288.61786	2631
288.63898	2668
288.6601	2656
288.68118	2647
288.7023	2634
288.72342	2637
288.74454	2584
288.76563	2588
288.78674	2598
288.80783	2579
288.82895	2576
288.85007	2587
288.87115	2611
288.89227	2588
288.91339	2604
288.93448	2592
288.9556	2597
288.97668	2593
288.9978	2579
289.01892	2559
289.04001	2556
289.06113	2570
289.08221	2575
289.10333	2583
289.12442	2560
289.14554	2567
289.16666	2558
289.18774	2537
289.20886	2536
289.22995	2571
289.25107	2536
289.27216	2533
289.29327	2544
289.31436	2518
289.33548	2527
289.35657	2543
289.37769	2523
289.39877	2529
289.41989	2521
289.44098	2531
289.46207	2539
289.48318	2543
289.50427	2549
289.52539	2530
289.54648	2547
289.5676	2535
289.58868	2535
289.60977	2542
289.63089	2548
289.65198	2529
289.6731	2577
289.69418	2539
289.71527	2557
289.73639	2504
289.75748	2521
289.77859	2503
289.79968	2511
289.82077	2516
289.84189	2510
289.86298	2496
289.88406	2509
289.90518	2492
289.92627	2491
289.94736	2475
289.96848	2455
289.98956	2458
290.01065	2473
290.03174	2435
290.05286	2464
290.07394	2458
290.09503	2457
290.11612	2464
290.13724	2446
290.15833	2472
290.17941	2464
290.2005	2481
290.22162	2455
290.24271	2460
290.26379	2472
290.28488	2454
290.30597	2457
290.32709	2473
290.34818	2473
290.36926	2459
290.39035	2462
290.41144	2486
290.43256	2458
290.45364	2461
290.47473	2443
290.49582	2456
290.51691	2438
290.53799	2457
290.55908	2453
290.5802	2476
290.60129	2481
290.62238	2485
290.64346	2534
290.66455	2511
290.68564	2501
290.70673	2504
290.72781	2494
290.7489	2506
290.76999	2515
290.79108	2508
290.81216	2506
290.83325	2519
290.85434	2531
290.87546	2523
290.89655	2532
290.91763	2531
290.93872	2531
