Date and Time:                Sun Jan 29 14:29:49.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              310
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



288.51233	2731
288.53345	2599
288.55453	2627
288.57565	2609
288.59677	2624
288.61786	2664
288.63898	2659
288.6601	2621
288.68118	2662
288.7023	2663
288.72342	2644
288.74454	2625
288.76563	2638
288.78674	2634
288.80783	2621
288.82895	2615
288.85007	2613
288.87115	2625
288.89227	2660
288.91339	2630
288.93448	2659
288.9556	2638
288.97668	2625
288.9978	2632
289.01892	2616
289.04001	2597
289.06113	2614
289.08221	2648
289.10333	2628
289.12442	2627
289.14554	2618
289.16666	2607
289.18774	2602
289.20886	2593
289.22995	2608
289.25107	2590
289.27216	2607
289.29327	2625
289.31436	2610
289.33548	2625
289.35657	2589
289.37769	2593
289.39877	2590
289.41989	2607
289.44098	2619
289.46207	2628
289.48318	2623
289.50427	2639
289.52539	2642
289.54648	2638
289.5676	2615
289.58868	2630
289.60977	2620
289.63089	2633
289.65198	2646
289.6731	2636
289.69418	2628
289.71527	2620
289.73639	2613
289.75748	2592
289.77859	2604
289.79968	2604
289.82077	2618
289.84189	2600
289.86298	2608
289.88406	2604
289.90518	2584
289.92627	2585
289.94736	2557
289.96848	2545
289.98956	2551
290.01065	2554
290.03174	2534
290.05286	2528
290.07394	2554
290.09503	2536
290.11612	2541
290.13724	2546
290.15833	2551
290.17941	2522
290.2005	2539
290.22162	2556
290.24271	2525
290.26379	2533
290.28488	2543
290.30597	2522
290.32709	2529
290.34818	2526
290.36926	2533
290.39035	2513
290.41144	2520
290.43256	2531
290.45364	2515
290.47473	2506
290.49582	2516
290.51691	2501
290.53799	2506
290.55908	2495
290.5802	2516
290.60129	2532
290.62238	2545
290.64346	2542
290.66455	2537
290.68564	2540
290.70673	2538
290.72781	2506
290.7489	2541
290.76999	2524
290.79108	2538
290.81216	2553
290.83325	2530
290.85434	2547
290.87546	2554
290.89655	2501
290.91763	2524
290.93872	2515
